"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",334,16,5.93,"0.00032"
"2","GO:0044325","ion channel binding",123,9,2.18,"0.00034"
"3","GO:0070097","delta-catenin binding",9,3,0.16,"0.00043"
"4","GO:0001102","RNA polymerase II activating transcription factor binding",39,5,0.69,"0.00060"
"5","GO:0004683","calmodulin-dependent protein kinase activity",24,4,0.43,"0.00078"
"6","GO:0086056","voltage-gated calcium channel activity involved in AV node cell action potential",3,2,0.05,"0.00093"
"7","GO:0005250","A-type (transient outward) potassium channel activity",4,2,0.07,"0.00184"
"8","GO:0046875","ephrin receptor binding",31,4,0.55,"0.00209"
"9","GO:0043394","proteoglycan binding",32,4,0.57,"0.00236"
"10","GO:0050839","cell adhesion molecule binding",233,11,4.14,"0.00302"
"11","GO:0010385","double-stranded methylated DNA binding",5,2,0.09,"0.00303"
"12","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding",18,3,0.32,"0.00370"
"13","GO:0050998","nitric-oxide synthase binding",19,3,0.34,"0.00434"
"14","GO:0003747","translation release factor activity",6,2,0.11,"0.00449"
"15","GO:0016615","malate dehydrogenase activity",6,2,0.11,"0.00449"
"16","GO:0035259","glucocorticoid receptor binding",20,3,0.36,"0.00504"
"17","GO:0000976","transcription regulatory region sequence-specific DNA binding",1063,35,18.87,"0.00515"
"18","GO:0031492","nucleosomal DNA binding",7,2,0.12,"0.00621"
"19","GO:0019871","sodium channel inhibitor activity",7,2,0.12,"0.00621"
"20","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",834,25,14.8,"0.00721"
