"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098759","cellular response to interleukin-8",1,1,0,"0.00057"
"2","GO:0072303","positive regulation of glomerular metanephric mesangial cell...",1,1,0,"0.00057"
"3","GO:0071506","cellular response to mycophenolic acid",2,1,0,"0.00114"
"4","GO:0060086","circadian temperature homeostasis",3,1,0,"0.00170"
"5","GO:2000182","regulation of progesterone biosynthetic process",3,1,0,"0.00170"
"6","GO:0071504","cellular response to heparin",4,1,0,"0.00227"
"7","GO:1902949","positive regulation of tau-protein kinase activity",5,1,0,"0.00284"
"8","GO:0090027","negative regulation of monocyte chemotaxis",5,1,0,"0.00284"
"9","GO:0043568","positive regulation of insulin-like growth factor receptor s...",7,1,0,"0.00397"
"10","GO:0044849","estrous cycle",7,1,0,"0.00397"
"11","GO:1903753","negative regulation of p38MAPK cascade",7,1,0,"0.00397"
"12","GO:0032868","response to insulin",196,2,0.11,"0.00511"
"13","GO:0046886","positive regulation of hormone biosynthetic process",10,1,0.01,"0.00567"
"14","GO:0061418","regulation of transcription from RNA polymerase II promoter ...",12,1,0.01,"0.00680"
"15","GO:0035970","peptidyl-threonine dephosphorylation",14,1,0.01,"0.00793"
"16","GO:0007517","muscle organ development",248,2,0.14,"0.00807"
"17","GO:0070262","peptidyl-serine dephosphorylation",17,1,0.01,"0.00962"
"18","GO:0035372","protein localization to microtubule",18,1,0.01,"0.01018"
"19","GO:0070498","interleukin-1-mediated signaling pathway",19,1,0.01,"0.01075"
"20","GO:0045475","locomotor rhythm",19,1,0.01,"0.01075"
