"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098759","cellular response to interleukin-8",1,1,0,"0.00051"
"2","GO:0072303","positive regulation of glomerular metanephric mesangial cell proliferation",1,1,0,"0.00051"
"3","GO:0071506","cellular response to mycophenolic acid",2,1,0,"0.00103"
"4","GO:0060086","circadian temperature homeostasis",3,1,0,"0.00154"
"5","GO:2000182","regulation of progesterone biosynthetic process",3,1,0,"0.00154"
"6","GO:0071504","cellular response to heparin",4,1,0,"0.00206"
"7","GO:1902949","positive regulation of tau-protein kinase activity",5,1,0,"0.00257"
"8","GO:0090027","negative regulation of monocyte chemotaxis",5,1,0,"0.00257"
"9","GO:1903753","negative regulation of p38MAPK cascade",6,1,0,"0.00308"
"10","GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway",7,1,0,"0.00360"
"11","GO:0044849","estrous cycle",7,1,0,"0.00360"
"12","GO:0032868","response to insulin",194,2,0.1,"0.00405"
"13","GO:0046886","positive regulation of hormone biosynthetic process",10,1,0.01,"0.00513"
"14","GO:0007517","muscle organ development",246,2,0.13,"0.00643"
"15","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia",13,1,0.01,"0.00667"
"16","GO:0070262","peptidyl-serine dephosphorylation",17,1,0.01,"0.00871"
"17","GO:0000188","inactivation of MAPK activity",17,1,0.01,"0.00871"
"18","GO:0045475","locomotor rhythm",18,1,0.01,"0.00922"
"19","GO:0035372","protein localization to microtubule",18,1,0.01,"0.00922"
"20","GO:0070498","interleukin-1-mediated signaling pathway",19,1,0.01,"0.00973"
