"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098993","anchored component of synaptic vesicle membrane",5,1,0,"0.0011"
"2","GO:0099513","polymeric cytoskeletal fiber",519,2,0.11,"0.0042"
"3","GO:0030667","secretory granule membrane",60,1,0.01,"0.0130"
"4","GO:0005881","cytoplasmic microtubule",69,1,0.02,"0.0150"
"5","GO:0005884","actin filament",109,1,0.02,"0.0236"
"6","GO:0001726","ruffle",137,1,0.03,"0.0296"
"7","GO:0000139","Golgi membrane",221,1,0.05,"0.0474"
"8","GO:0030141","secretory granule",244,1,0.05,"0.0523"
"9","GO:0005874","microtubule",365,1,0.08,"0.0775"
"10","GO:0031252","cell leading edge",368,1,0.08,"0.0781"
"11","GO:0015629","actin cytoskeleton",397,1,0.09,"0.0841"
"12","GO:0005886","plasma membrane",3424,2,0.75,"0.1550"
"13","GO:0005768","endosome",771,1,0.17,"0.1589"
"14","GO:0071944","cell periphery",3726,2,0.81,"0.1803"
"15","GO:0031226","intrinsic component of plasma membrane",954,1,0.21,"0.1940"
"16","GO:0015630","microtubule cytoskeleton",1048,1,0.23,"0.2116"
"17","GO:0005794","Golgi apparatus",1260,1,0.27,"0.2504"
"18","GO:0120025","plasma membrane bounded cell projection",1854,1,0.4,"0.3523"
"19","GO:0042995","cell projection",2044,1,0.45,"0.3828"
"20","GO:0005737","cytoplasm",8792,3,1.92,"0.4083"
