"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0019002","GMP binding",3,1,0,"0.00068"
"2","GO:0008092","cytoskeletal protein binding",816,2,0.19,"0.01102"
"3","GO:0051219","phosphoprotein binding",95,1,0.02,"0.02147"
"4","GO:0051015","actin filament binding",170,1,0.04,"0.03821"
"5","GO:0042802","identical protein binding",1751,2,0.4,"0.04826"
"6","GO:0008017","microtubule binding",229,1,0.05,"0.05124"
"7","GO:0003924","GTPase activity",237,1,0.05,"0.05300"
"8","GO:0031625","ubiquitin protein ligase binding",274,1,0.06,"0.06110"
"9","GO:0044389","ubiquitin-like protein ligase binding",288,1,0.07,"0.06415"
"10","GO:0005525","GTP binding",289,1,0.07,"0.06437"
"11","GO:0015631","tubulin binding",322,1,0.07,"0.07154"
"12","GO:0003779","actin binding",349,1,0.08,"0.07738"
"13","GO:0008270","zinc ion binding",531,1,0.12,"0.11609"
"14","GO:0042803","protein homodimerization activity",542,1,0.12,"0.11840"
"15","GO:0017111","nucleoside-triphosphatase activity",652,1,0.15,"0.14123"
"16","GO:0005515","protein binding",6940,3,1.58,"0.14606"
"17","GO:0046914","transition metal ion binding",698,1,0.16,"0.15065"
"18","GO:0016462","pyrophosphatase activity",701,1,0.16,"0.15127"
"19","GO:0016817","hydrolase activity, acting on acid anhydrides",703,1,0.16,"0.15168"
"20","GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",703,1,0.16,"0.15168"
