"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0000125","PCAF complex",4,1,0,"0.0023"
"2","GO:0070761","pre-snoRNP complex",7,1,0,"0.0040"
"3","GO:1990454","L-type voltage-gated calcium channel complex",10,1,0.01,"0.0058"
"4","GO:0000124","SAGA complex",12,1,0.01,"0.0069"
"5","GO:0030914","STAGA complex",12,1,0.01,"0.0069"
"6","GO:0098684","photoreceptor ribbon synapse",12,1,0.01,"0.0069"
"7","GO:0033276","transcription factor TFTC complex",14,1,0.01,"0.0081"
"8","GO:0071339","MLL1 complex",29,1,0.02,"0.0166"
"9","GO:0044665","MLL1/2 complex",29,1,0.02,"0.0166"
"10","GO:0005669","transcription factor TFIID complex",31,1,0.02,"0.0178"
"11","GO:0015629","actin cytoskeleton",413,2,0.24,"0.0220"
"12","GO:0032420","stereocilium",42,1,0.02,"0.0240"
"13","GO:0032421","stereocilium bundle",48,1,0.03,"0.0274"
"14","GO:0043005","neuron projection",1333,3,0.77,"0.0343"
"15","GO:0099513","polymeric cytoskeletal fiber",542,2,0.31,"0.0365"
"16","GO:0035097","histone methyltransferase complex",67,1,0.04,"0.0380"
"17","GO:0005881","cytoplasmic microtubule",71,1,0.04,"0.0403"
"18","GO:0032432","actin filament bundle",79,1,0.05,"0.0447"
"19","GO:0031594","neuromuscular junction",85,1,0.05,"0.0480"
"20","GO:0034708","methyltransferase complex",91,1,0.05,"0.0513"
