"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",40,3,0.05,"1.6e-05"
"2","GO:0046686","response to cadmium ion",28,2,0.03,"0.00055"
"3","GO:0031175","neuron projection development",986,6,1.23,"0.00092"
"4","GO:2000620","positive regulation of histone H4-K16 acetylation",1,1,0,"0.00125"
"5","GO:0035914","skeletal muscle cell differentiation",56,2,0.07,"0.00218"
"6","GO:0090108","positive regulation of high-density lipoprotein particle assembly",2,1,0,"0.00250"
"7","GO:1903385","regulation of homophilic cell adhesion",3,1,0,"0.00374"
"8","GO:0098582","innate vocalization behavior",3,1,0,"0.00374"
"9","GO:1990079","cartilage homeostasis",3,1,0,"0.00374"
"10","GO:0021954","central nervous system neuron development",82,2,0.1,"0.00461"
"11","GO:0010706","ganglioside biosynthetic process via lactosylceramide",5,1,0.01,"0.00623"
"12","GO:0098942","retrograde trans-synaptic signaling by trans-synaptic protein complex",5,1,0.01,"0.00623"
"13","GO:0060155","platelet dense granule organization",5,1,0.01,"0.00623"
"14","GO:0090027","negative regulation of monocyte chemotaxis",5,1,0.01,"0.00623"
"15","GO:1901214","regulation of neuron death",324,3,0.4,"0.00716"
"16","GO:0030311","poly-N-acetyllactosamine biosynthetic process",6,1,0.01,"0.00747"
"17","GO:1904778","positive regulation of protein localization to cell cortex",6,1,0.01,"0.00747"
"18","GO:0034616","response to laminar fluid shear stress",6,1,0.01,"0.00747"
"19","GO:0032489","regulation of Cdc42 protein signal transduction",7,1,0.01,"0.00871"
"20","GO:1904478","regulation of intestinal absorption",7,1,0.01,"0.00871"
