"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0010428","methyl-CpNpG binding",1,1,0,"0.0013"
"2","GO:0090556","phosphatidylserine floppase activity",2,1,0,"0.0025"
"3","GO:0034188","apolipoprotein A-I receptor activity",2,1,0,"0.0025"
"4","GO:0008489","UDP-galactose:glucosylceramide beta-1,4-galactosyltransferas...",3,1,0,"0.0038"
"5","GO:0046623","sphingolipid floppase activity",4,1,0.01,"0.0050"
"6","GO:0034186","apolipoprotein A-I binding",4,1,0.01,"0.0050"
"7","GO:0042803","protein homodimerization activity",581,4,0.73,"0.0052"
"8","GO:0090554","phosphatidylcholine floppase activity",5,1,0.01,"0.0063"
"9","GO:0003945","N-acetyllactosamine synthase activity",5,1,0.01,"0.0063"
"10","GO:0051219","phosphoprotein binding",99,2,0.12,"0.0068"
"11","GO:0004983","neuropeptide Y receptor activity",6,1,0.01,"0.0075"
"12","GO:0008035","high-density lipoprotein particle binding",7,1,0.01,"0.0088"
"13","GO:0008330","protein tyrosine/threonine phosphatase activity",11,1,0.01,"0.0138"
"14","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity",12,1,0.02,"0.0150"
"15","GO:0005545","1-phosphatidylinositol binding",14,1,0.02,"0.0175"
"16","GO:0008320","protein transmembrane transporter activity",15,1,0.02,"0.0187"
"17","GO:0033549","MAP kinase phosphatase activity",15,1,0.02,"0.0187"
"18","GO:0120020","cholesterol transfer activity",17,1,0.02,"0.0212"
"19","GO:0000979","RNA polymerase II core promoter sequence-specific DNA bindin...",17,1,0.02,"0.0212"
"20","GO:0004970","ionotropic glutamate receptor activity",18,1,0.02,"0.0224"
