"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0010750","positive regulation of nitric oxide mediated signal transduction",3,1,0,"0.00023"
"2","GO:0070141","response to UV-A",7,1,0,"0.00054"
"3","GO:1903800","positive regulation of production of miRNAs involved in gene silencing by miRNA",8,1,0,"0.00062"
"4","GO:1900020","positive regulation of protein kinase C activity",8,1,0,"0.00062"
"5","GO:1905208","negative regulation of cardiocyte differentiation",9,1,0,"0.00069"
"6","GO:0061029","eyelid development in camera-type eye",11,1,0,"0.00085"
"7","GO:0071392","cellular response to estradiol stimulus",16,1,0,"0.00123"
"8","GO:0071276","cellular response to cadmium ion",19,1,0,"0.00146"
"9","GO:0038083","peptidyl-tyrosine autophosphorylation",21,1,0,"0.00162"
"10","GO:0045737","positive regulation of cyclin-dependent protein serine/threonine kinase activity",22,1,0,"0.00169"
"11","GO:0060571","morphogenesis of an epithelial fold",22,1,0,"0.00169"
"12","GO:0050999","regulation of nitric-oxide synthase activity",24,1,0,"0.00185"
"13","GO:0007435","salivary gland morphogenesis",26,1,0,"0.00200"
"14","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle",34,1,0,"0.00262"
"15","GO:0048546","digestive tract morphogenesis",36,1,0,"0.00277"
"16","GO:0045740","positive regulation of DNA replication",40,1,0,"0.00308"
"17","GO:0048146","positive regulation of fibroblast proliferation",49,1,0,"0.00377"
"18","GO:1901224","positive regulation of NIK/NF-kappaB signaling",49,1,0,"0.00377"
"19","GO:0021795","cerebral cortex cell migration",50,1,0,"0.00385"
"20","GO:1903078","positive regulation of protein localization to plasma membrane",52,1,0,"0.00400"
