"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0097489","multivesicular body, internal vesicle lumen",1,1,0,"7.7e-05"
"2","GO:0032587","ruffle membrane",67,1,0.01,"0.0051"
"3","GO:0031901","early endosome membrane",72,1,0.01,"0.0055"
"4","GO:0030139","endocytic vesicle",156,1,0.01,"0.0119"
"5","GO:0016323","basolateral plasma membrane",161,1,0.01,"0.0123"
"6","GO:0009925","basal plasma membrane",181,1,0.01,"0.0139"
"7","GO:0045178","basal part of cell",197,1,0.02,"0.0151"
"8","GO:0043235","receptor complex",270,1,0.02,"0.0207"
"9","GO:0045121","membrane raft",293,1,0.02,"0.0224"
"10","GO:0098857","membrane microdomain",294,1,0.02,"0.0225"
"11","GO:0009986","cell surface",519,1,0.04,"0.0397"
"12","GO:0048471","perinuclear region of cytoplasm",568,1,0.04,"0.0435"
"13","GO:0005887","integral component of plasma membrane",822,1,0.06,"0.0629"
"14","GO:0031226","intrinsic component of plasma membrane",871,1,0.07,"0.0667"
"15","GO:0005794","Golgi apparatus",1204,1,0.09,"0.0921"
"16","GO:0005783","endoplasmic reticulum",1363,1,0.1,"0.1043"
"17","GO:0030054","cell junction",1588,1,0.12,"0.1215"
"18","GO:0016021","integral component of membrane",3068,1,0.23,"0.2348"
"19","GO:0031224","intrinsic component of membrane",3154,1,0.24,"0.2414"
"20","GO:0032991","protein-containing complex",4152,1,0.32,"0.3177"
