"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005006","epidermal growth factor-activated receptor activity",3,1,0,"0.00024"
"2","GO:0048408","epidermal growth factor binding",3,1,0,"0.00024"
"3","GO:0030235","nitric-oxide synthase regulator activity",8,1,0,"0.00064"
"4","GO:0005178","integrin binding",84,1,0.01,"0.00669"
"5","GO:0019903","protein phosphatase binding",151,1,0.01,"0.01202"
"6","GO:0005516","calmodulin binding",152,1,0.01,"0.01210"
"7","GO:0051015","actin filament binding",154,1,0.01,"0.01226"
"8","GO:0019902","phosphatase binding",191,1,0.02,"0.01520"
"9","GO:0031625","ubiquitin protein ligase binding",266,1,0.02,"0.02117"
"10","GO:0044389","ubiquitin-like protein ligase binding",279,1,0.02,"0.02221"
"11","GO:0003779","actin binding",321,1,0.03,"0.02555"
"12","GO:0003682","chromatin binding",514,1,0.04,"0.04091"
"13","GO:0019901","protein kinase binding",618,1,0.05,"0.04919"
"14","GO:0019900","kinase binding",687,1,0.05,"0.05468"
"15","GO:0008092","cytoskeletal protein binding",778,1,0.06,"0.06192"
"16","GO:0005524","ATP binding",1127,1,0.09,"0.08970"
"17","GO:0032559","adenyl ribonucleotide binding",1175,1,0.09,"0.09352"
"18","GO:0030554","adenyl nucleotide binding",1187,1,0.09,"0.09448"
"19","GO:0035639","purine ribonucleoside triphosphate binding",1378,1,0.11,"0.10968"
"20","GO:0032555","purine ribonucleotide binding",1429,1,0.11,"0.11374"
