"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0007286","spermatid development",92,3,0.12,"0.0002"
"2","GO:1900135","positive regulation of renin secretion into blood stream",1,1,0,"0.0013"
"3","GO:0046878","positive regulation of saliva secretion",1,1,0,"0.0013"
"4","GO:1905665","positive regulation of calcium ion import across plasma memb...",1,1,0,"0.0013"
"5","GO:0003061","positive regulation of the force of heart contraction by nor...",1,1,0,"0.0013"
"6","GO:0005977","glycogen metabolic process",53,2,0.07,"0.0020"
"7","GO:0002025","norepinephrine-epinephrine-mediated vasodilation involved in...",2,1,0,"0.0026"
"8","GO:0035811","negative regulation of urine volume",3,1,0,"0.0039"
"9","GO:1903241","U2-type prespliceosome assembly",3,1,0,"0.0039"
"10","GO:0010424","DNA methylation on cytosine within a CG sequence",3,1,0,"0.0039"
"11","GO:0061072","iris morphogenesis",4,1,0.01,"0.0051"
"12","GO:0106071","positive regulation of adenylate cyclase-activating G protei...",4,1,0.01,"0.0051"
"13","GO:0001996","positive regulation of heart rate by epinephrine-norepinephr...",4,1,0.01,"0.0051"
"14","GO:0071314","cellular response to cocaine",5,1,0.01,"0.0064"
"15","GO:0060235","lens induction in camera-type eye",5,1,0.01,"0.0064"
"16","GO:2000324","positive regulation of glucocorticoid receptor signaling pat...",6,1,0.01,"0.0077"
"17","GO:0036166","phenotypic switching",6,1,0.01,"0.0077"
"18","GO:0035360","positive regulation of peroxisome proliferator activated rec...",6,1,0.01,"0.0077"
"19","GO:0060059","embryonic retina morphogenesis in camera-type eye",6,1,0.01,"0.0077"
"20","GO:0007224","smoothened signaling pathway",107,2,0.14,"0.0081"
