"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005964","phosphorylase kinase complex",4,1,0.01,"0.0051"
"2","GO:0016604","nuclear body",588,4,0.75,"0.0053"
"3","GO:0071010","prespliceosome",15,1,0.02,"0.0190"
"4","GO:0071004","U2-type prespliceosome",15,1,0.02,"0.0190"
"5","GO:0005686","U2 snRNP",20,1,0.03,"0.0253"
"6","GO:0016607","nuclear speck",282,2,0.36,"0.0490"
"7","GO:0071005","U2-type precatalytic spliceosome",46,1,0.06,"0.0573"
"8","GO:0071011","precatalytic spliceosome",48,1,0.06,"0.0597"
"9","GO:0097525","spliceosomal snRNP complex",52,1,0.07,"0.0645"
"10","GO:0001669","acrosomal vesicle",52,1,0.07,"0.0645"
"11","GO:0030532","small nuclear ribonucleoprotein complex",58,1,0.07,"0.0717"
"12","GO:0120114","Sm-like protein family complex",66,1,0.08,"0.0812"
"13","GO:0016605","PML body",67,1,0.09,"0.0824"
"14","GO:0098685","Schaffer collateral - CA1 synapse",76,1,0.1,"0.0929"
"15","GO:0071013","catalytic step 2 spliceosome",81,1,0.1,"0.0988"
"16","GO:0005684","U2-type spliceosomal complex",84,1,0.11,"0.1022"
"17","GO:0009897","external side of plasma membrane",130,1,0.17,"0.1540"
"18","GO:0090575","RNA polymerase II transcription regulator complex",135,1,0.17,"0.1595"
"19","GO:0005681","spliceosomal complex",165,1,0.21,"0.1916"
"20","GO:0005887","integral component of plasma membrane",676,2,0.86,"0.2126"
