"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0016604","nuclear body",572,4,0.69,"0.0038"
"2","GO:0005964","phosphorylase kinase complex",4,1,0,"0.0048"
"3","GO:0071010","prespliceosome",15,1,0.02,"0.0179"
"4","GO:0071004","U2-type prespliceosome",15,1,0.02,"0.0179"
"5","GO:0005686","U2 snRNP",20,1,0.02,"0.0238"
"6","GO:0016607","nuclear speck",272,2,0.33,"0.0410"
"7","GO:0071005","U2-type precatalytic spliceosome",42,1,0.05,"0.0494"
"8","GO:0071011","precatalytic spliceosome",46,1,0.06,"0.0540"
"9","GO:0097525","spliceosomal snRNP complex",52,1,0.06,"0.0608"
"10","GO:0001669","acrosomal vesicle",52,1,0.06,"0.0608"
"11","GO:0030532","small nuclear ribonucleoprotein complex",58,1,0.07,"0.0676"
"12","GO:0120114","Sm-like protein family complex",66,1,0.08,"0.0766"
"13","GO:0016605","PML body",67,1,0.08,"0.0777"
"14","GO:0071013","catalytic step 2 spliceosome",73,1,0.09,"0.0844"
"15","GO:0005684","U2-type spliceosomal complex",80,1,0.1,"0.0922"
"16","GO:0098685","Schaffer collateral - CA1 synapse",101,1,0.12,"0.1150"
"17","GO:0090575","RNA polymerase II transcription regulator complex",132,1,0.16,"0.1478"
"18","GO:0009897","external side of plasma membrane",132,1,0.16,"0.1478"
"19","GO:0005681","spliceosomal complex",164,1,0.2,"0.1804"
"20","GO:0030141","secretory granule",185,1,0.22,"0.2012"
