"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0004940","beta1-adrenergic receptor activity",1,1,0,"0.0012"
"2","GO:1990841","promoter-specific chromatin binding",50,2,0.06,"0.0016"
"3","GO:0099579","G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential",2,1,0,"0.0024"
"4","GO:0046790","virion binding",4,1,0,"0.0048"
"5","GO:0031694","alpha-2A adrenergic receptor binding",4,1,0,"0.0048"
"6","GO:0046976","histone methyltransferase activity (H3-K27 specific)",5,1,0.01,"0.0060"
"7","GO:0046974","histone methyltransferase activity (H3-K9 specific)",9,1,0.01,"0.0108"
"8","GO:0070742","C2H2 zinc finger domain binding",10,1,0.01,"0.0120"
"9","GO:0004016","adenylate cyclase activity",10,1,0.01,"0.0120"
"10","GO:0043176","amine binding",11,1,0.01,"0.0132"
"11","GO:0008179","adenylate cyclase binding",13,1,0.02,"0.0156"
"12","GO:0009975","cyclase activity",14,1,0.02,"0.0168"
"13","GO:0016849","phosphorus-oxygen lyase activity",14,1,0.02,"0.0168"
"14","GO:0031683","G-protein beta/gamma-subunit complex binding",17,1,0.02,"0.0203"
"15","GO:0061631","ubiquitin conjugating enzyme activity",28,1,0.03,"0.0333"
"16","GO:0019904","protein domain specific binding",611,3,0.74,"0.0340"
"17","GO:0061650","ubiquitin-like protein conjugating enzyme activity",32,1,0.04,"0.0380"
"18","GO:0001222","transcription corepressor binding",32,1,0.04,"0.0380"
"19","GO:0030145","manganese ion binding",50,1,0.06,"0.0588"
"20","GO:0002039","p53 binding",65,1,0.08,"0.0758"
