"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0043025","neuronal cell body",639,26,7.83,"6.9e-08"
"2","GO:0030425","dendrite",655,25,8.03,"4.2e-07"
"3","GO:0005794","Golgi apparatus",1264,33,15.49,"2.4e-05"
"4","GO:0048471","perinuclear region of cytoplasm",593,19,7.27,"0.00012"
"5","GO:0031906","late endosome lumen",2,2,0.02,"0.00015"
"6","GO:0098684","photoreceptor ribbon synapse",11,3,0.13,"0.00028"
"7","GO:0042734","presynaptic membrane",121,9,1.48,"0.00052"
"8","GO:0005886","plasma membrane",3532,72,43.29,"0.00054"
"9","GO:0043005","neuron projection",1315,43,16.12,"0.00054"
"10","GO:0035976","transcription factor AP-1 complex",4,2,0.05,"0.00088"
"11","GO:0098835","presynaptic endocytic zone membrane",5,2,0.06,"0.00146"
"12","GO:0098978","glutamatergic synapse",311,11,3.81,"0.00159"
"13","GO:0014069","postsynaptic density",317,11,3.89,"0.00185"
"14","GO:0043195","terminal bouton",73,5,0.89,"0.00200"
"15","GO:0005887","integral component of plasma membrane",926,22,11.35,"0.00216"
"16","GO:0072534","perineuronal net",6,2,0.07,"0.00217"
"17","GO:0098690","glycinergic synapse",6,2,0.07,"0.00217"
"18","GO:0034706","sodium channel complex",23,3,0.28,"0.00268"
"19","GO:0043209","myelin sheath",195,8,2.39,"0.00280"
"20","GO:0042641","actomyosin",79,5,0.97,"0.00283"
