"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0030425","dendrite",663,106,40.01,"8.2e-13"
"2","GO:0098978","glutamatergic synapse",309,54,18.65,"1.1e-12"
"3","GO:0043025","neuronal cell body",645,90,38.93,"3.3e-12"
"4","GO:0043197","dendritic spine",189,34,11.41,"8.3e-09"
"5","GO:0098982","GABA-ergic synapse",67,19,4.04,"8.6e-09"
"6","GO:0014069","postsynaptic density",315,46,19.01,"2.1e-08"
"7","GO:0030426","growth cone",190,33,11.47,"3.4e-08"
"8","GO:0005887","integral component of plasma membrane",964,114,58.18,"2.6e-07"
"9","GO:0030424","axon",649,95,39.17,"1.6e-06"
"10","GO:0048471","perinuclear region of cytoplasm",606,69,36.57,"1.3e-05"
"11","GO:0045202","synapse",1190,181,71.82,"7.9e-05"
"12","GO:0043005","neuron projection",1332,181,80.38,"0.00015"
"13","GO:0043034","costamere",15,6,0.91,"0.00015"
"14","GO:0005886","plasma membrane",3640,312,219.67,"0.00025"
"15","GO:0034704","calcium channel complex",53,11,3.2,"0.00027"
"16","GO:0060076","excitatory synapse",63,12,3.8,"0.00033"
"17","GO:0031594","neuromuscular junction",84,14,5.07,"0.00047"
"18","GO:0045121","membrane raft",322,35,19.43,"0.00053"
"19","GO:0045211","postsynaptic membrane",249,35,15.03,"0.00056"
"20","GO:0030018","Z disc",107,16,6.46,"0.00066"
