"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0006695","cholesterol biosynthetic process",41,13,1.01,"1.6e-10"
"2","GO:0060384","innervation",27,6,0.67,"4.1e-05"
"3","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecu...",93,10,2.29,"9.7e-05"
"4","GO:0048148","behavioral response to cocaine",20,5,0.49,"0.00010"
"5","GO:0008090","retrograde axonal transport",23,5,0.57,"0.00021"
"6","GO:1903979","negative regulation of microglial cell activation",6,3,0.15,"0.00028"
"7","GO:0030307","positive regulation of cell growth",171,13,4.22,"0.00033"
"8","GO:0007616","long-term memory",39,6,0.96,"0.00035"
"9","GO:0050770","regulation of axonogenesis",178,13,4.39,"0.00048"
"10","GO:1900222","negative regulation of amyloid-beta clearance",7,3,0.17,"0.00048"
"11","GO:0008360","regulation of cell shape",134,11,3.31,"0.00048"
"12","GO:0014846","esophagus smooth muscle contraction",2,2,0.05,"0.00061"
"13","GO:0045337","farnesyl diphosphate biosynthetic process",2,2,0.05,"0.00061"
"14","GO:0021954","central nervous system neuron development",82,10,2.02,"0.00070"
"15","GO:0070098","chemokine-mediated signaling pathway",30,5,0.74,"0.00076"
"16","GO:0035914","skeletal muscle cell differentiation",62,7,1.53,"0.00080"
"17","GO:0060080","inhibitory postsynaptic potential",19,4,0.47,"0.00105"
"18","GO:1904753","negative regulation of vascular associated smooth muscle cel...",9,3,0.22,"0.00112"
"19","GO:0032874","positive regulation of stress-activated MAPK cascade",107,9,2.64,"0.00131"
"20","GO:0042127","regulation of cell population proliferation",1314,50,32.41,"0.00133"
