"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0006695","cholesterol biosynthetic process",41,13,1.04,"2.0e-10"
"2","GO:0000188","inactivation of MAPK activity",18,5,0.45,"6.5e-05"
"3","GO:0048148","behavioral response to cocaine",19,5,0.48,"8.7e-05"
"4","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",92,10,2.32,"0.00011"
"5","GO:0008090","retrograde axonal transport",23,5,0.58,"0.00023"
"6","GO:0030336","negative regulation of cell migration",233,16,5.89,"0.00029"
"7","GO:1903979","negative regulation of microglial cell activation",6,3,0.15,"0.00030"
"8","GO:0007616","long-term memory",38,6,0.96,"0.00035"
"9","GO:0048675","axon extension",129,11,3.26,"0.00043"
"10","GO:1900222","negative regulation of amyloid-beta clearance",7,3,0.18,"0.00052"
"11","GO:0014846","esophagus smooth muscle contraction",2,2,0.05,"0.00064"
"12","GO:0045337","farnesyl diphosphate biosynthetic process",2,2,0.05,"0.00064"
"13","GO:0016129","phytosteroid biosynthetic process",2,2,0.05,"0.00064"
"14","GO:0060384","innervation",24,6,0.61,"0.00091"
"15","GO:0035914","skeletal muscle cell differentiation",62,7,1.57,"0.00092"
"16","GO:0070098","chemokine-mediated signaling pathway",31,5,0.78,"0.00099"
"17","GO:0060080","inhibitory postsynaptic potential",19,4,0.48,"0.00115"
"18","GO:0043085","positive regulation of catalytic activity",936,39,23.64,"0.00141"
"19","GO:0016079","synaptic vesicle exocytosis",129,10,3.26,"0.00160"
"20","GO:0038180","nerve growth factor signaling pathway",10,3,0.25,"0.00168"
