"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005509","calcium ion binding",464,28,11.45,"1.3e-05"
"2","GO:0032564","dATP binding",2,2,0.05,"0.00061"
"3","GO:0071949","FAD binding",31,5,0.77,"0.00089"
"4","GO:0005102","signaling receptor binding",1069,44,26.38,"0.00152"
"5","GO:0019901","protein kinase binding",681,32,16.81,"0.00187"
"6","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",22,4,0.54,"0.00188"
"7","GO:0031625","ubiquitin protein ligase binding",284,16,7.01,"0.00189"
"8","GO:0051087","chaperone binding",93,8,2.3,"0.00209"
"9","GO:0008330","protein tyrosine/threonine phosphatase activity",11,3,0.27,"0.00212"
"10","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity",12,3,0.3,"0.00278"
"11","GO:0031720","haptoglobin binding",4,2,0.1,"0.00353"
"12","GO:0008449","N-acetylglucosamine-6-sulfatase activity",4,2,0.1,"0.00353"
"13","GO:0050436","microfibril binding",4,2,0.1,"0.00353"
"14","GO:0005488","binding",10272,295,253.51,"0.00438"
"15","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",344,17,8.49,"0.00532"
"16","GO:0043395","heparan sulfate proteoglycan binding",15,3,0.37,"0.00544"
"17","GO:0008574","plus-end-directed microtubule motor activity",15,3,0.37,"0.00544"
"18","GO:0038191","neuropilin binding",5,2,0.12,"0.00578"
"19","GO:0051015","actin filament binding",185,11,4.57,"0.00629"
"20","GO:0003725","double-stranded RNA binding",70,6,1.73,"0.00754"
