"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098992","neuronal dense core vesicle",10,2,0.01,"1.6e-05"
"2","GO:1990071","TRAPPII protein complex",2,1,0,"0.0013"
"3","GO:0071598","neuronal ribonucleoprotein granule",8,1,0.01,"0.0051"
"4","GO:0000812","Swr1 complex",12,1,0.01,"0.0077"
"5","GO:0033276","transcription factor TFTC complex",14,1,0.01,"0.0089"
"6","GO:0005615","extracellular space",746,3,0.48,"0.0098"
"7","GO:0000124","SAGA complex",19,1,0.01,"0.0121"
"8","GO:0043189","H4/H2A histone acetyltransferase complex",20,1,0.01,"0.0127"
"9","GO:0035267","NuA4 histone acetyltransferase complex",20,1,0.01,"0.0127"
"10","GO:0036477","somatodendritic compartment",920,3,0.59,"0.0174"
"11","GO:0150034","distal axon",327,2,0.21,"0.0174"
"12","GO:1902562","H4 histone acetyltransferase complex",31,1,0.02,"0.0197"
"13","GO:0043005","neuron projection",1305,4,0.84,"0.0308"
"14","GO:0022625","cytosolic large ribosomal subunit",53,1,0.03,"0.0334"
"15","GO:1903561","extracellular vesicle",69,1,0.04,"0.0433"
"16","GO:0043195","terminal bouton",71,1,0.05,"0.0446"
"17","GO:0065010","extracellular membrane-bounded organelle",73,1,0.05,"0.0458"
"18","GO:0043230","extracellular organelle",73,1,0.05,"0.0458"
"19","GO:0048471","perinuclear region of cytoplasm",588,2,0.38,"0.0517"
"20","GO:0043025","neuronal cell body",630,2,0.4,"0.0586"
