"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0030348","syntaxin-3 binding",3,1,0,"0.00093"
"2","GO:0061891","calcium ion sensor activity",3,1,0,"0.00093"
"3","GO:0099583","neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration",4,1,0,"0.00124"
"4","GO:0031749","D2 dopamine receptor binding",5,1,0,"0.00155"
"5","GO:0022849","glutamate-gated calcium ion channel activity",5,1,0,"0.00155"
"6","GO:0008022","protein C-terminus binding",214,2,0.07,"0.00161"
"7","GO:0046982","protein heterodimerization activity",216,2,0.07,"0.00164"
"8","GO:0070324","thyroid hormone binding",6,1,0,"0.00186"
"9","GO:0005234","extracellularly glutamate-gated ion channel activity",6,1,0,"0.00186"
"10","GO:0004972","NMDA glutamate receptor activity",6,1,0,"0.00186"
"11","GO:0005391","P-type sodium:potassium-exchanging ATPase activity",8,1,0,"0.00248"
"12","GO:0005149","interleukin-1 receptor binding",10,1,0,"0.00310"
"13","GO:0016594","glycine binding",11,1,0,"0.00341"
"14","GO:0016595","glutamate binding",13,1,0,"0.00403"
"15","GO:0042165","neurotransmitter binding",14,1,0,"0.00434"
"16","GO:0050750","low-density lipoprotein particle receptor binding",22,1,0.01,"0.00681"
"17","GO:0001671","ATPase activator activity",23,1,0.01,"0.00712"
"18","GO:0017075","syntaxin-1 binding",26,1,0.01,"0.00805"
"19","GO:0035255","ionotropic glutamate receptor binding",36,1,0.01,"0.01113"
"20","GO:1904315","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential",38,1,0.01,"0.01175"
