"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0000786","nucleosome",14,1,0,"0.0022"
"2","GO:0000781","chromosome, telomeric region",98,1,0.02,"0.0151"
"3","GO:0000228","nuclear chromosome",166,1,0.03,"0.0255"
"4","GO:0098687","chromosomal region",243,1,0.04,"0.0372"
"5","GO:0031981","nuclear lumen",3220,1,0.5,"0.4357"
"6","GO:0043233","organelle lumen",3577,1,0.55,"0.4763"
"7","GO:0070013","intracellular organelle lumen",3577,1,0.55,"0.4763"
"8","GO:0031974","membrane-enclosed lumen",3577,1,0.55,"0.4763"
"9","GO:0005634","nucleus",5473,1,0.85,"0.6669"
"10","GO:0016020","membrane",5544,1,0.86,"0.6732"
"11","GO:0005622","intracellular anatomical structure",10237,2,1.58,"0.7906"
"12","GO:0005737","cytoplasm",8359,1,1.29,"0.8745"
"13","GO:0043231","intracellular membrane-bounded organelle",8533,1,1.32,"0.8839"
"14","GO:0043227","membrane-bounded organelle",8794,1,1.36,"0.8972"
"15","GO:0110165","cellular anatomical entity",11658,2,1.8,"0.9005"
"16","GO:0043228","non-membrane-bounded organelle",3383,1,0.52,"1.0000"
"17","GO:0005694","chromosome",900,1,0.14,"1.0000"
"18","GO:0043229","intracellular organelle",9221,1,1.42,"1.0000"
"19","GO:0032991","protein-containing complex",4114,1,0.64,"1.0000"
"20","GO:0043232","intracellular non-membrane-bounded organelle",3383,1,0.52,"1.0000"
