"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0043025","neuronal cell body",629,45,14.77,"2.5e-08"
"2","GO:0030424","axon",640,45,15.03,"1.8e-06"
"3","GO:0045211","postsynaptic membrane",243,19,5.71,"4.8e-06"
"4","GO:0014069","postsynaptic density",314,21,7.37,"1.7e-05"
"5","GO:0005886","plasma membrane",3508,141,82.36,"4.0e-05"
"6","GO:0098978","glutamatergic synapse",309,20,7.25,"4.3e-05"
"7","GO:0060076","excitatory synapse",62,8,1.46,"9.5e-05"
"8","GO:0043204","perikaryon",117,11,2.75,"9.6e-05"
"9","GO:0005576","extracellular region",1190,50,27.94,"0.00012"
"10","GO:0030425","dendrite",654,40,15.35,"0.00014"
"11","GO:0043195","terminal bouton",72,8,1.69,"0.00028"
"12","GO:0009986","cell surface",591,28,13.88,"0.00034"
"13","GO:0031045","dense core granule",27,5,0.63,"0.00037"
"14","GO:0034703","cation channel complex",179,17,4.2,"0.00043"
"15","GO:0008076","voltage-gated potassium channel complex",60,7,1.41,"0.00049"
"16","GO:0042734","presynaptic membrane",120,10,2.82,"0.00053"
"17","GO:0008328","ionotropic glutamate receptor complex",44,6,1.03,"0.00053"
"18","GO:0061202","clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane",2,2,0.05,"0.00055"
"19","GO:0043679","axon terminus",155,16,3.64,"0.00064"
"20","GO:0043197","dendritic spine",187,15,4.39,"0.00082"
