"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:1902473","regulation of protein localization to synapse",29,2,0.05,"0.00091"
"2","GO:0006540","glutamate decarboxylation to succinate",1,1,0,"0.00156"
"3","GO:2000195","negative regulation of female gonad development",1,1,0,"0.00156"
"4","GO:0072560","type B pancreatic cell maturation",1,1,0,"0.00156"
"5","GO:0033488","cholesterol biosynthetic process via 24,25-dihydrolanosterol",1,1,0,"0.00156"
"6","GO:0038179","neurotrophin signaling pathway",39,2,0.06,"0.00165"
"7","GO:0099173","postsynapse organization",192,4,0.3,"0.00255"
"8","GO:0045670","regulation of osteoclast differentiation",49,2,0.08,"0.00259"
"9","GO:2000078","positive regulation of type B pancreatic cell development",2,1,0,"0.00311"
"10","GO:0016036","cellular response to phosphate starvation",2,1,0,"0.00311"
"11","GO:0003221","right ventricular cardiac muscle tissue morphogenesis",2,1,0,"0.00311"
"12","GO:1902340","negative regulation of chromosome condensation",2,1,0,"0.00311"
"13","GO:0098815","modulation of excitatory postsynaptic potential",55,2,0.09,"0.00326"
"14","GO:1903539","protein localization to postsynaptic membrane",56,2,0.09,"0.00338"
"15","GO:0060395","SMAD protein signal transduction",61,2,0.09,"0.00399"
"16","GO:0008542","visual learning",61,2,0.09,"0.00399"
"17","GO:0003195","tricuspid valve formation",3,1,0,"0.00466"
"18","GO:0033058","directional locomotion",3,1,0,"0.00466"
"19","GO:0031509","subtelomeric heterochromatin assembly",3,1,0,"0.00466"
"20","GO:0003192","mitral valve formation",4,1,0.01,"0.00621"
