"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098978","glutamatergic synapse",488,5,0.83,"0.0012"
"2","GO:0098984","neuron to neuron synapse",415,6,0.7,"0.0018"
"3","GO:0061202","clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane",2,1,0,"0.0034"
"4","GO:0030424","axon",649,5,1.1,"0.0041"
"5","GO:0099061","integral component of postsynaptic density membrane",70,2,0.12,"0.0062"
"6","GO:0035976","transcription factor AP-1 complex",4,1,0.01,"0.0068"
"7","GO:0005833","hemoglobin complex",6,1,0.01,"0.0101"
"8","GO:0031838","haptoglobin-hemoglobin complex",6,1,0.01,"0.0101"
"9","GO:0098793","presynapse",529,4,0.9,"0.0113"
"10","GO:0036056","filtration diaphragm",7,1,0.01,"0.0118"
"11","GO:0036057","slit diaphragm",7,1,0.01,"0.0118"
"12","GO:0014069","postsynaptic density",385,5,0.65,"0.0123"
"13","GO:0098982","GABA-ergic synapse",101,2,0.17,"0.0126"
"14","GO:0032279","asymmetric synapse",390,5,0.66,"0.0128"
"15","GO:0032993","protein-DNA complex",103,2,0.17,"0.0130"
"16","GO:0099056","integral component of presynaptic membrane",103,2,0.17,"0.0130"
"17","GO:0098794","postsynapse",688,6,1.17,"0.0140"
"18","GO:0099572","postsynaptic specialization",415,5,0.7,"0.0157"
"19","GO:0098889","intrinsic component of presynaptic membrane",115,2,0.2,"0.0161"
"20","GO:0036477","somatodendritic compartment",937,5,1.59,"0.0185"
