"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0016595","glutamate binding",13,2,0.02,"0.00022"
"2","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding",18,2,0.03,"0.00043"
"3","GO:0008398","sterol 14-demethylase activity",1,1,0,"0.00172"
"4","GO:0004506","squalene monooxygenase activity",1,1,0,"0.00172"
"5","GO:0044877","protein-containing complex binding",1207,7,2.08,"0.00324"
"6","GO:0004351","glutamate decarboxylase activity",2,1,0,"0.00344"
"7","GO:0031721","hemoglobin alpha binding",2,1,0,"0.00344"
"8","GO:0031722","hemoglobin beta binding",2,1,0,"0.00344"
"9","GO:0098641","cadherin binding involved in cell-cell adhesion",3,1,0.01,"0.00516"
"10","GO:0000822","inositol hexakisphosphate binding",4,1,0.01,"0.00687"
"11","GO:0070699","type II activin receptor binding",4,1,0.01,"0.00687"
"12","GO:0046332","SMAD binding",76,2,0.13,"0.00748"
"13","GO:0099507","ligand-gated ion channel activity involved in regulation of presynaptic membrane potential",5,1,0.01,"0.00858"
"14","GO:0022849","glutamate-gated calcium ion channel activity",5,1,0.01,"0.00858"
"15","GO:0031697","beta-1 adrenergic receptor binding",5,1,0.01,"0.00858"
"16","GO:0005234","extracellularly glutamate-gated ion channel activity",6,1,0.01,"0.01029"
"17","GO:0070324","thyroid hormone binding",6,1,0.01,"0.01029"
"18","GO:0015114","phosphate ion transmembrane transporter activity",6,1,0.01,"0.01029"
"19","GO:0031720","haptoglobin binding",6,1,0.01,"0.01029"
"20","GO:0004972","NMDA glutamate receptor activity",7,1,0.01,"0.01199"
