cell_type,Age,Sex,Condition,count
L2_3_IT,150,Female,MUTANT,0.151064398
L2_3_IT,30,Female,MUTANT,0.151137197
L2_3_IT,60,Female,MUTANT,0.146517997
L4,150,Female,MUTANT,0.066357887
L4,30,Female,MUTANT,0.073367572
L4,60,Female,MUTANT,0.069835681
L5,150,Female,MUTANT,0.217333215
L5,30,Female,MUTANT,0.219858156
L5,60,Female,MUTANT,0.22143975
L6,150,Female,MUTANT,0.18989935
L6,30,Female,MUTANT,0.170701883
L6,60,Female,MUTANT,0.188380282
Pvalb,150,Female,MUTANT,0.065110893
Pvalb,30,Female,MUTANT,0.066030814
Pvalb,60,Female,MUTANT,0.073356808
Vip,150,Female,MUTANT,0.054689588
Vip,30,Female,MUTANT,0.056737589
Vip,60,Female,MUTANT,0.052425665
Sst,150,Female,MUTANT,0.085062795
Sst,30,Female,MUTANT,0.084861824
Sst,60,Female,MUTANT,0.087245696
Sncg,150,Female,MUTANT,0.008818028
Sncg,30,Female,MUTANT,0.011005136
Sncg,60,Female,MUTANT,0.008802817
Lamp5,150,Female,MUTANT,0.058875924
Lamp5,30,Female,MUTANT,0.058694057
Lamp5,60,Female,MUTANT,0.056338028
Peri,150,Female,MUTANT,0.004987975
Peri,30,Female,MUTANT,0.005380289
Peri,60,Female,MUTANT,0.003716745
Endo,150,Female,MUTANT,0.002048633
Endo,30,Female,MUTANT,0.00171191
Endo,60,Female,MUTANT,0.002934272
Oligo,150,Female,MUTANT,0.038211455
Oligo,30,Female,MUTANT,0.03937393
Oligo,60,Female,MUTANT,0.03814554
Astro,150,Female,MUTANT,0.02698851
Astro,30,Female,MUTANT,0.025189533
Astro,60,Female,MUTANT,0.02327856
Non-neuronal,150,Female,MUTANT,0.030551349
Non-neuronal,30,Female,MUTANT,0.03595011
Non-neuronal,60,Female,MUTANT,0.02758216
