cell_type,Age,Sex,Condition,count
L2_3_IT,120,Male,MUTANT,0.145900581
L2_3_IT,30,Male,MUTANT,0.150699353
L2_3_IT,60,Male,MUTANT,0.147378833
L4,120,Male,MUTANT,0.065848935
L4,30,Male,MUTANT,0.070085727
L4,60,Male,MUTANT,0.065776459
L5,120,Male,MUTANT,0.223001014
L5,30,Male,MUTANT,0.218077906
L5,60,Male,MUTANT,0.233234421
L6,120,Male,MUTANT,0.183344093
L6,30,Male,MUTANT,0.181982253
L6,60,Male,MUTANT,0.179821958
Pvalb,120,Male,MUTANT,0.069445725
Pvalb,30,Male,MUTANT,0.064370582
Pvalb,60,Male,MUTANT,0.068447082
Vip,120,Male,MUTANT,0.049248363
Vip,30,Male,MUTANT,0.051135509
Vip,60,Male,MUTANT,0.048961424
Sst,120,Male,MUTANT,0.089181961
Sst,30,Male,MUTANT,0.090239134
Sst,60,Male,MUTANT,0.085361029
Sncg,120,Male,MUTANT,0.012450429
Sncg,30,Male,MUTANT,0.011881486
Sncg,60,Male,MUTANT,0.009198813
Lamp5,120,Male,MUTANT,0.060684312
Lamp5,30,Male,MUTANT,0.057151451
Lamp5,60,Male,MUTANT,0.059050445
Peri,120,Male,MUTANT,0.003781241
Peri,30,Male,MUTANT,0.004511957
Peri,60,Male,MUTANT,0.003264095
Endo,120,Male,MUTANT,0.001567832
Endo,30,Male,MUTANT,0.002255978
Endo,60,Male,MUTANT,0.002077151
Oligo,120,Male,MUTANT,0.039749147
Oligo,30,Male,MUTANT,0.040006016
Oligo,60,Male,MUTANT,0.036894164
Astro,120,Male,MUTANT,0.022410772
Astro,30,Male,MUTANT,0.025417356
Astro,60,Male,MUTANT,0.02611276
Non-neuronal,120,Male,MUTANT,0.033385594
Non-neuronal,30,Male,MUTANT,0.032185291
Non-neuronal,60,Male,MUTANT,0.034421365
