cell_type,Age,Sex,Condition,count
L2_3_IT,120,Male,WT,0.153246476
L2_3_IT,30,Male,WT,0.147206576
L2_3_IT,60,Male,WT,0.158666879
L4,120,Male,WT,0.069201196
L4,30,Male,WT,0.073374943
L4,60,Male,WT,0.062669431
L5,120,Male,WT,0.226078599
L5,30,Male,WT,0.228040798
L5,60,Male,WT,0.217030777
L6,120,Male,WT,0.183682187
L6,30,Male,WT,0.178261531
L6,60,Male,WT,0.186094722
Pvalb,120,Male,WT,0.067385733
Pvalb,30,Male,WT,0.064088902
Pvalb,60,Male,WT,0.0668155
Vip,120,Male,WT,0.046774883
Vip,30,Male,WT,0.050540417
Vip,60,Male,WT,0.049912295
Sst,120,Male,WT,0.088744126
Sst,30,Male,WT,0.08890242
Sst,60,Male,WT,0.090575666
Sncg,120,Male,WT,0.009077317
Sncg,30,Male,WT,0.012026184
Sncg,60,Male,WT,0.009248924
Lamp5,120,Male,WT,0.054357112
Lamp5,30,Male,WT,0.059521997
Lamp5,60,Male,WT,0.056131399
Peri,120,Male,WT,0.004164887
Peri,30,Male,WT,0.002892373
Peri,60,Male,WT,0.003189284
Endo,120,Male,WT,0.002669799
Endo,30,Male,WT,0.002587913
Endo,60,Male,WT,0.001116249
Oligo,120,Male,WT,0.036629645
Oligo,30,Male,WT,0.036383011
Oligo,60,Male,WT,0.038430872
Astro,120,Male,WT,0.026697992
Astro,30,Male,WT,0.022834526
Astro,60,Male,WT,0.026471057
Non-neuronal,120,Male,WT,0.031290047
Non-neuronal,30,Male,WT,0.033338408
Non-neuronal,60,Male,WT,0.033646946
