"","Astro","Endo","L2_3_IT","L4","L5","L6","Lamp5","Non-neuronal","Oligo","Peri","Pvalb","Sncg","Sst","Vip"
"MUT_M_E18_WB1",275,41,910,368,2885,1432,636,137,85,19,565,177,1103,549
"MUT_M_E18_WB2",357,78,1259,556,4641,2446,961,175,171,38,788,141,1659,900
"MUT_M_P120_CORT1",110,23,523,246,712,887,304,132,112,45,470,61,420,377
"MUT_M_P120_CORT2",133,26,755,313,854,1468,427,419,253,88,555,68,635,427
"MUT_M_P30_CORT1",65,8,546,166,717,767,214,131,167,4,224,42,290,243
"MUT_M_P30_CORT2",75,5,458,223,511,666,123,228,222,13,205,19,184,133
"MUT_M_P60_CORT1",142,13,1044,644,1092,1096,331,273,327,44,443,84,429,327
"MUT_M_P60_CORT2",52,14,554,259,722,628,163,228,363,53,213,93,241,238
"WT_M_E18_WB1",254,20,376,301,1315,474,344,97,80,24,347,101,458,420
"WT_M_E18_WB2",275,26,1005,323,2934,1770,692,114,122,28,770,103,1254,586
"WT_M_P120_CORT1",58,13,706,216,709,935,271,323,183,59,664,48,348,230
"WT_M_P120_CORT2",106,16,482,241,759,869,371,181,199,42,466,69,405,395
"WT_M_P30_CORT1",71,4,585,187,569,742,156,109,141,6,221,26,264,157
"WT_M_P30_CORT2",82,6,578,263,503,681,142,174,250,7,198,30,232,185
"WT_M_P60_CORT1",93,14,544,248,591,658,149,210,247,43,181,41,224,136
"WT_M_P60_CORT2",64,4,468,206,514,594,114,123,216,38,197,30,200,124
