,SYMBOL,Astro_F_P150_CORT_2,L2_3_IT_F_P30_CORT_2,L2_3_IT_F_P60_CORT_2,L2_3_IT_F_P150_CORT_2,L4_F_P30_CORT_2,L4_F_P60_CORT_2,L4_F_P150_CORT_2,L5_F_P30_CORT_2,L5_F_P60_CORT_2,L5_F_P150_CORT_2,L6_F_P30_CORT_2,L6_F_P60_CORT_2,L6_F_P150_CORT_2,Lamp5_F_P30_CORT_2,Lamp5_F_P60_CORT_2,Oligo_F_P30_CORT_2,Oligo_F_P60_CORT_2,Pvalb_F_P30_CORT_2,Pvalb_F_P150_CORT_2,Sst_F_P30_CORT_2,Sst_F_P60_CORT_2,Sst_F_P150_CORT_2,Vip_F_P30_CORT_2,Vip_F_P60_CORT_2,Vip_F_P150_CORT_2
0,Nrep,1.9577877902039744,-0.2749005105690199,0.0,0.2558234444012255,0.0,0.0,0.0,0.0,-0.3339476725305784,-0.1930931509992302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2279297174780352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Chsy3,1.7252151751958456,-0.2898861231424237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1528759404924771,-0.2692935821734601,0.1439613382443315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2986367502204834,0.0,0.0,0.0
2,Arc,1.6121756618872531,0.0,0.0,0.1561067374767608,0.0,0.0,0.2632495185069928,0.0,0.0,0.181024921364297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Dlk1,0.0,0.0,0.0,-0.8628158523781471,0.0,0.0,0.0,0.0,0.0,-0.44687542808713,0.0,0.0,-0.4502890852391228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7179528914701387,0.0,0.0,0.0
4,Prox1,0.0,0.0,0.3785909326451909,0.5497646824767807,0.0,0.0,0.0,0.0,0.0,0.7066611011898242,-0.3493702670204544,-0.1108659648908206,0.0,0.0,0.3176202620613297,0.0,0.0,0.0,0.0,0.0,0.0,0.3289566643978394,0.0,0.0,0.0
5,Dach1,0.0,0.0,0.0,-0.4947519686662331,0.0,0.0,0.0,-0.5373656816178879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4036923375611291,0.0,0.0,-0.6068024393474725,0.0,0.0,0.0
6,Anln,0.0,-0.86808664991652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3550343336428259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,C1qb,0.0,-0.674266623900407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Rell1,0.9470639248122013,-0.6231141014530251,0.0,0.0,0.0,0.0,0.0,-0.3889458491600651,0.0,0.0,-0.3460775869870501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4330635490368818,0.0,0.0,0.0,0.0,0.0
9,Il1rapl2,0.0,0.0,0.936389896312418,0.0,0.0,0.0,0.0,-0.1275581742878088,0.0,-0.1437946258595847,0.0,0.4599601629616863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Tgfbr1,0.0,0.0,0.8896168511305278,0.0,-0.400871059246953,0.0,0.0,-0.398318691098221,0.0,0.0,-0.5400804353514331,0.0,0.0,0.0,0.0,0.0,0.0,-0.3313147995684489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Fn1,0.0,0.0,0.8612446759648135,0.0,0.0,0.0,0.0,0.0,0.0,0.4883441134823848,0.0,0.0,0.0,0.0,0.9188002237428752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Fstl5,0.0,-0.1589343428087084,0.0,-0.1653193563297022,-0.2724116764060106,0.0,-0.5832654705028709,-0.147646003192541,0.0,-0.1838409394620852,0.0,0.5039593738660236,0.0,-0.5922560878339173,0.0,0.0,0.0,0.0,-0.2548982745916505,0.0,0.0,0.0,0.0,0.0,0.0
13,Nnat,0.0,0.0,0.545987237205731,0.0,0.0,0.0,-0.5396656938303471,-0.1394256729458497,0.6451318066059748,0.0,-0.0352474217568749,0.6055845671980119,0.0,0.0,0.2860857927366672,0.0,0.0,-0.4674602192746183,-0.2601459513781503,0.0,0.0,-0.3009080098858799,0.0,1.0399013902312222,-0.4319849587936605
14,Zcchc12,0.0,0.0,0.3548888330343953,-0.2552882220971506,0.0,0.0,-0.5177017854868106,0.0,0.3233402025408463,-0.3780526334577612,0.0,0.4240131788747495,0.0,0.0,0.3410088071418495,0.0,0.0,0.0,-0.2174839442139063,0.0,0.0,0.0,0.0,0.0,-0.2454059418857626
15,Oprd1,0.0,-0.4444412410095801,0.0,0.0,-0.7801689578629325,0.0,0.0,0.0,0.0,-0.3490889375224447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Hbb-bt,0.0,-0.5049087475036941,0.0,-0.3159283143645263,-0.682305498847553,0.0,0.0,-0.4660097730822188,0.0,0.0,-0.4334609409568686,0.0,-0.3533790722310659,0.0,1.0709479287199395,0.0,0.0,-0.7564070542841023,0.0,-0.6398485522173616,0.0,-0.3784715622031958,0.0,0.0,0.0
