,SYMBOL,Astro_F_E18_WB_2,Astro_M_E18_WB_2,L2_3_IT_F_E18_WB_2,L2_3_IT_M_E18_WB_2,L4_F_E18_WB_2,L4_M_E18_WB_2,L5_F_E18_WB_2,L5_M_E18_WB_2,L6_F_E18_WB_2,L6_M_E18_WB_2,Lamp5_F_E18_WB_2,Lamp5_M_E18_WB_2,Oligo_M_E18_WB_2,Pvalb_M_E18_WB_2,Sst_F_E18_WB_2,Sst_M_E18_WB_2,Vip_M_E18_WB_2
0,Ptgds,1.0250707813480022,0.0,0.5572541694200006,-0.2011950194109888,0.5333153435773084,-0.2282950997203752,0.5331506491528785,-0.3150496821083109,0.783460259026431,-0.4182903196940355,0.0,-0.3663420488026933,-0.5930758983310681,-0.2389746712519053,0.0,-0.3298993217656439,-0.2950099401402891
1,Fn1,1.0135954777613692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Pla2g7,0.0,0.7704018669224941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Apoe,0.0,0.636862958552277,0.0,0.228250556806964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2990956128519359,0.0,0.0,0.0,0.1429313574457112,0.0
4,Sparcl1,0.0,0.5907326830057058,0.0,0.0,0.0,0.0,0.0,0.2334344041713874,0.0,0.2185443364620695,0.0,0.274813235443185,0.0,0.0,0.0,0.0,0.0
5,Ednrb,0.0,0.5675156762381441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Luzp2,0.0,0.5046379014438703,0.0,0.3425442878999714,0.0,0.3649503306644066,-0.1063700753404803,0.3073697965325243,0.0,0.2879351568423733,0.0,0.3359492014062626,0.0,0.0,0.0,0.0,0.0
7,Aqp4,0.0,0.4912653464898378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Mfge8,0.0,0.4187200589667881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Serpine2,0.0,0.399480700981119,0.0,0.0,0.0,0.0,0.0,0.224796387044807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304598440429505
10,Plpp3,0.0,0.3889103779214748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Slc1a3,0.0,0.3488364225729046,0.0,0.0,0.0,0.0,0.0,0.1730093948251164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Hbb-bt,0.0,0.0,-0.6137092631163853,0.0,0.0,0.0,0.0,0.0,-0.2035238031356413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Reln,0.0,0.0,-0.1822746744128317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0171552903450662,0.0
14,Sst,0.0,0.0,0.1454211094003969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Tfap2b,0.0,0.0,0.0,1.7758494700523724,0.0,1.647608636257345,0.0,1.1135789089968735,0.0,0.8396449434865252,0.0,1.2423028230518622,0.0,1.5456426213809695,0.0,0.860932427676822,0.0
16,Pf4,0.0,0.0,0.0,-1.335413043606693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Hba-a2,0.0,0.0,0.0,-0.5072255046830999,0.0,0.1603870546333556,0.0,-0.2128508792181462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Rbms1,0.0,0.0,0.0,0.4855139965497275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Cacnb2,0.0,0.0,0.0,0.4487911895249885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Hba-a1,0.0,0.0,0.0,-0.3868591074521392,0.0,0.1167242360524936,0.0,-0.2941165475039264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Snhg11,0.0,0.0,0.0,0.3784277364007386,0.0,0.326915990788256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4168346437095932
22,Glra3,0.0,0.0,0.0,0.3703207894512451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Dnm1,0.0,0.0,0.0,0.2980554119728933,0.0,0.0,0.0,0.1841900747069424,0.0,0.0,0.0,0.3112603646733555,0.0,0.0,0.0,0.0,0.0
24,Rap2b,0.0,0.0,0.0,0.0,-0.228879134670074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,AC124561.1,0.0,0.0,0.0,0.0,0.013924926142792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Car8,0.0,0.0,0.0,0.7881416438569238,0.0,0.7076065659326305,0.0,0.510283370656605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6674670725517174,0.0
27,Trhde,0.0,0.0,0.0,0.0,0.0,0.6176454128799024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Bckdhb,0.0,0.0,0.0,0.0,0.0,0.542098451487371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Cep112,0.0,0.0,0.0,0.0,0.0,0.5313560788341376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Disp2,0.0,0.0,0.0,0.0,0.0,0.4901594872577226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Slc39a13,0.0,0.0,0.0,0.0,0.0,0.4715173772016636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Vav3,0.0,0.0,0.0,0.0,0.0,0.4715173772016636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Nespas,0.0,0.0,0.0,0.0,0.0,0.4659134996836659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Slc35f4,0.0,0.0,0.0,0.0,0.0,0.4562774106449267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dlx1,0.0,0.0,0.0,0.0,0.0,0.0,-0.3137038099092696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Gm42047,0.0,0.0,0.0,0.0,-0.3129517267038005,0.0,-0.2654907352838306,-0.0337719181468034,-0.2131751288644887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Ccnd2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2628151123084786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Gad2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2529189627474127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Nefm,0.0,0.0,0.0,0.0,0.0,0.0,0.2309356746312192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Dlx1as,0.0,0.0,0.0,0.0,0.0,0.0,-0.2185811794158527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Dlx6os1,0.0,0.0,0.0,0.0,0.0,0.0,-0.212263664615374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Gm27032,0.0,0.0,0.0,0.0,0.0,0.0,-0.2010993330646454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Fscn1,0.0,0.0,0.0,0.1843801151103673,0.0,0.0,-0.1993891070181112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Pcp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6462174915663683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Irx2,0.0,0.0,0.0,0.0,0.0,1.4257598866409895,0.0,1.3786112513893367,0.0,1.1918274615978883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Sox14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7797563999365865,0.0,0.0,0.0,0.8411576745046123,0.0,0.0,0.0,0.0,0.0
47,Otx2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4796715504169185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Gpr158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4776142539032372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Lin7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4110047803920314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Avp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.392700574464001,0.0,-0.5685950218253244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Nrxn3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1831884040675258,0.0,0.0,0.1491925717372516,0.0,0.0,0.0,0.0,0.0
52,Rorb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1192806179891612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Grm7,0.0,0.0,0.0,0.0,0.0,0.380525170121052,0.0,0.0,0.0,0.4928574572618694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Nwd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4003122496562624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Csmd1,0.0,0.0,0.0,0.0,0.0,0.3521111291933245,0.0,0.156830365587777,0.0,0.2989677506154378,0.0,0.2784283879720674,0.0,0.0,0.0,0.0,0.2399434475784764
56,Tle4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2278258290935179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
