,SYMBOL,L2_3_IT_F_P30_CORT_1,L5_F_P30_CORT_1,L6_F_P30_CORT_1,L6_F_P60_CORT_1,Lamp5_F_P30_CORT_1,Pvalb_F_P30_CORT_1,Pvalb_F_P150_CORT_1,Sncg_F_P30_CORT_1,Sncg_F_P60_CORT_1,Sst_F_P30_CORT_1,Vip_F_P30_CORT_1,Vip_F_P150_CORT_1
0,Plp1,0.0253700058059678,0.0567768059132918,0.748861645234412,0.0326785294898587,0.273993823647533,0.0646067593656481,1.0,0.999509024988908,1.0,0.480059687129952,0.151472517830516,1.0
1,Tenm1,0.0253700058059678,0.810916193018489,0.989443437859493,0.996075593378518,0.175424454353533,0.581093004720489,0.999322250559445,0.829471243186987,0.72054616597632,0.351713642993825,0.988393786206023,0.996524853121264
2,Atp2b2,0.030781212049848,0.0654250154534783,0.40120500109287,0.996075593378518,0.0327303396610605,0.001010579939037,0.999322250559445,0.888099252432082,0.887573582176758,0.175742804065598,0.939989504948547,0.996524853121264
3,Atp2b1,0.0261736154036996,0.0693699717367192,0.11445475634579,0.05609257081785,0.140869075011411,0.0041985248863391,0.999322250559445,0.706632676547634,0.67908397162472,0.204200700973768,0.899878910851537,0.996524853121264
4,Syne1,0.0324971665418049,0.0623699511690176,0.332976257152466,0.996075593378518,0.0763700748820478,0.0213001926943526,0.999322250559445,0.919690309144531,0.954315794914672,0.188004421467062,0.926545102907691,0.996524853121264
5,Gm42418,0.0350262522492881,0.0958205548062512,0.180217204661893,0.931091199246726,0.0077255252816188,4.53605757295926e-05,0.999322250559445,0.628537239561833,0.960516829880775,0.0216826516124861,0.0967222515362193,0.996524853121264
6,Arid5b,0.0253700058059678,0.175175150289855,1.0,1.0,0.916971284036052,0.339781740280505,1.0,1.0,1.0,1.0,1.0,1.0
7,Slc24a2,0.250784882635372,0.0567768059132918,0.0032520996903972,0.996075593378518,0.681834986362998,0.0066678193702263,0.999322250559445,0.75832165458187,0.973224797150588,0.353926638500352,0.21992048600754,0.996524853121264
8,Ndrg4,0.134476399548024,0.0567768059132918,0.67393309546171,0.996075593378518,0.0243473273089258,6.34464563010191e-06,0.999322250559445,0.766153699879126,0.990094498751557,0.175742804065598,0.899878910851537,0.996524853121264
9,Cadps,0.18257869305314,0.0575155573974933,0.63480703568193,0.996075593378518,0.144700802427946,0.0160306175660113,0.999322250559445,0.480314285216168,0.67908397162472,0.353926638500352,0.460046503146152,0.996524853121264
10,Mical2,0.0487692132155761,0.0575155573974933,0.4906616477967,0.996075593378518,0.275430827181156,0.794774812070333,0.999322250559445,1.0,1.0,0.439130463501496,0.963087891501781,1.0
11,Kalrn,0.0400638948214512,0.0575155573974933,0.464396816478698,0.057045458539317,0.803197625801027,0.620273699558494,0.999322250559445,0.903642580852446,0.984481671776974,0.204200700973768,0.939540726102569,0.996524853121264
12,Aph1a,1.0,0.0341546111603429,1.0,1.0,1.0,0.365740339141016,1.0,1.0,0.960516829880775,1.0,1.0,1.0
13,Pcdh9,0.133301589453655,0.0743766897633365,1.31532008526931e-06,0.31670055464658,0.29366003980682,0.158409690319774,0.999322250559445,0.987068649833892,0.72054616597632,0.189395975640384,0.119703678646565,0.996524853121264
14,Rsrp1,0.0490726794983166,0.0575155573974933,4.68202479696645e-06,0.0529466083376327,0.0597473770567569,0.0006680625258571,0.999322250559445,0.866230678400071,0.943447856323412,0.175742804065598,0.037868972545014,0.996524853121264
15,Xist,0.111557260216986,0.143900555970769,2.31859414057547e-05,0.0758359999321542,0.0199836994061192,0.0492403690043036,0.999322250559445,0.89214175438943,0.989833551076359,0.188004421467062,0.170571673906256,0.996524853121264
16,Ptprd,0.232219799758173,0.11442560994863,9.53714210624025e-05,0.0310875754032612,0.759102964677989,0.66096350936717,0.999322250559445,0.999698861142309,0.86340317840476,0.657537833289122,0.14968431054715,0.996524853121264
17,Malat1,0.0311640729460067,0.0743766897633365,2.31859414057547e-05,0.924291000387536,0.155822386670726,4.53605757295926e-05,0.999322250559445,0.75832165458187,0.887886979789289,0.202680673300566,0.150062961697983,0.996524853121264
18,Son,0.0560307767280065,0.0754040730271478,0.0009477861630231,0.996075593378518,0.0361948673287776,0.000649308317951,0.999322250559445,0.81247729666357,0.962623200657778,0.175035626854431,0.037868972545014,0.996524853121264
19,AY036118,0.636026701959098,0.406547736853206,0.312210847514682,0.0007101783464143,0.59299965490997,0.0910328509086319,0.999322250559445,0.619563851698491,0.732500451561414,0.188004421467062,0.214312902134619,0.996524853121264
20,Meg3,0.034578171156725,0.175175150289855,0.456419841989005,0.0568339467680514,0.0898587537839299,0.0005458576396231,0.999322250559445,0.903642580852446,0.791102562607943,0.662047675967655,0.176400697493162,0.0167808600300942
21,Snhg11,0.0376559969097702,0.109612938296213,0.794542597625816,0.0487393722515952,0.0199836994061192,6.34464563010191e-06,0.999322250559445,0.798380034433863,0.839532848502692,0.520965717501236,0.296630575009691,0.0043766091156172
22,Arpp21,0.0779997171400108,0.0607428065644989,0.430195161189252,0.0040406780543459,0.767541459515964,1.0,1.0,0.440929777127484,0.67908397162472,1.0,0.989411774066388,0.996524853121264
23,Ptgds,1.0,1.0,1.0,0.0007101783464143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Gria2,0.0261073923592451,0.0599783576651469,0.353388252868728,0.0487393722515952,0.0231195084024037,0.0030481656261308,0.999322250559445,0.491405654225417,0.998320898424104,0.137427741423417,0.899878910851537,0.996524853121264
25,Npy,1.0,1.0,1.0,1.0,0.056038112017897,1.0,1.0,0.0713131167586787,1.0,0.527964252519898,1.0,1.0
26,Mir124a-1hg,0.138592471198489,0.0673915007240644,0.842546146894439,0.322243149348936,0.0067993740760444,3.02162269363875e-05,0.999322250559445,0.856902243630999,0.681638032372594,0.313179552799205,0.939540726102569,0.996524853121264
27,Tcf4,0.101926747988337,0.113791853769368,0.332976257152466,0.996075593378518,0.0067993740760444,0.0276555514798165,0.376052596419664,0.955451359061286,0.960516829880775,0.361385721039198,0.701504411929702,0.996524853121264
28,Kit,1.0,1.0,1.0,1.0,0.0067993740760444,1.0,1.0,0.999698861142309,1.0,1.0,0.775156084229373,1.0
29,Slc6a1,1.0,1.0,1.0,1.0,0.0073716840608127,0.0067508093424948,0.999322250559445,0.75832165458187,0.80151409809229,0.349785336259406,0.967332519683912,0.996524853121264
30,Adarb2,1.0,1.0,1.0,1.0,0.0440886054074834,1.0,1.0,0.868576324645525,0.843243777372656,1.0,0.756433133699902,0.996524853121264
