,Gene Ontology,Metadata,Sex,Cell Type,Time Point,Tissue,deg_method,Term,-log10.p-value
0,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,regulation of cell communication,2.72142542411077
1,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,RNA methyltransferase activity,2.71416921104912
2,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,hormone activity,2.52804588082436
3,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,positive regulation of supramolecular fiber organization,2.51331667637087
4,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,protein localization to nucleus,2.35013466420106
5,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,positive regulation of neuron differentiation,2.32511451407517
6,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,positive regulation of cellular component organization,2.23035397979143
7,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,epithelial tube morphogenesis,2.21268091738497
8,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,ventricular cardiac muscle tissue morphogenesis,2.21268091738497
9,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,protein kinase binding,2.14433240797488
10,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,contractile actin filament bundle,2.07532584747467
11,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,sodium channel activity,2.07532584747467
12,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,response to hydrogen peroxide,2.01461782295956
13,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,heart contraction,1.99537566623804
14,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,negative regulation of cellular process,1.99100694462745
15,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,regulation of small GTPase mediated signal transduction,1.90087449684573
16,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,cell morphogenesis involved in differentiation,1.8252262300657
17,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,metal ion binding,1.73922445879408
18,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,ubiquitin binding,1.71183614434558
19,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,regulation of viral genome replication,1.69878205943764
20,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,snRNA modification,1.68772377840681
21,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,negative regulation of phospholipid metabolic process,1.68772377840681
22,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,snRNA transcription by RNA polymerase III,1.68772377840681
