,SYMBOL,Astro_female_Postmortem_CORT_2,Endo_female_Postmortem_CORT_2,L2_3_IT_female_Postmortem_CORT_2,L5_6_female_Postmortem_CORT_2,L6_female_Postmortem_CORT_2,Lamp5_female_Postmortem_CORT_2,Non-neuronal_female_Postmortem_CORT_2,OPC_female_Postmortem_CORT_2,Oligo_female_Postmortem_CORT_2,Pvalb_female_Postmortem_CORT_2,Sncg_female_Postmortem_CORT_2,Sst_female_Postmortem_CORT_2,Vip_female_Postmortem_CORT_2
0,HSP90AA1,2.65e-29,0.088829071,0.000124729,0.594753795,0.896427328,0.601452288,0.001029988,0.000149378,1.28989e-31,0.802518831,0.937527622,0.002121323,0.536506414
1,HSPB1,3.9316e-31,0.549660951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,COL5A3,6.4741e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,CRYAB,7.61719e-15,1.0,1.0,0.934226563,0.731135085,0.869136216,1.0,1.0,3.62937e-17,0.338113682,0.569982387,1.0,1.0
4,NDRG2,8.15742e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.985216292,1.0,1.0,1.0,1.0
5,RPS27,0.292313547,0.001235461,0.321819427,0.798067597,0.855979267,0.673221278,0.98763263,1.0,0.975898594,0.072978153,0.639067577,0.563213705,0.70561806
6,ABCG2,1.0,0.048480641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,FN1,1.0,0.048480641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,HLA-B,1.0,0.048480641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,RAMP2,1.0,0.043579357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,PEG10,1.0,1.0,2.46547e-13,0.300899799,0.911607435,0.891040425,1.0,1.0,1.0,0.000377808,0.827441849,0.779686139,0.904667069
11,DLGAP1-AS4,1.0,1.0,1.25477e-11,1.0,0.617836739,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,RPS6KA5,1.0,1.0,2.75103e-13,0.420246229,0.617003478,0.001346867,1.0,1.0,1.0,1.0,0.693260841,0.779686139,1.0
13,LINC00507,1.0,1.0,6.97578e-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,STARD4,1.0,1.0,2.36793e-11,0.90143731,0.967895517,1.0,1.0,1.0,1.0,0.171916396,1.0,1.0,0.83292453
15,CDK13,1.0,1.0,0.251048816,0.012163182,0.894050417,0.870857977,1.0,1.0,1.0,0.31029059,0.932861855,0.821799884,0.78186354
16,SLC17A7,1.0,1.0,2.29282e-05,0.012115569,0.583078572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,COX5B,0.962589287,0.575671786,0.880872746,0.017029581,0.658609258,0.205247963,0.7756798,1.0,0.925998549,1.98473e-09,0.113342834,0.060143925,0.003093893
18,BMPR2,1.0,0.987161667,0.001401121,0.017029581,0.939980693,0.430227967,1.0,1.0,1.0,0.325174673,0.697028227,0.415883029,0.888512304
19,ADGRL1,1.0,1.0,0.015186423,0.03212966,0.603948017,0.77486376,1.0,1.0,1.0,0.922364813,0.829379346,0.999911814,0.73057445
20,AGBL4,1.0,1.0,0.006863556,0.540293109,0.000591034,0.972191819,1.0,1.0,1.0,0.779230126,1.0,0.398860757,1.0
21,PDIA6,1.0,1.0,0.939332024,0.956548045,0.000591034,0.950998048,1.0,1.0,1.0,0.542392059,0.849012032,0.837941584,0.227535162
22,FASTKD2,1.0,1.0,0.012843406,0.727041553,0.015030609,0.647320076,1.0,1.0,1.0,0.007269553,0.394615719,0.593075297,0.011745539
23,MRPS21,1.0,1.0,0.959072569,0.99874002,0.015030609,0.920866989,1.0,1.0,1.0,0.00053947,0.092620061,0.090619639,0.002282734
24,CDC42SE1,1.0,1.0,1.0,0.856110706,0.023095659,0.657304724,1.0,1.0,1.0,0.261760669,0.680217673,1.0,0.095780155
25,TRPC3,1.0,1.0,1.0,1.0,1.0,1.4106e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,CORT,1.0,1.0,1.0,1.0,1.0,4.6599e-08,1.0,1.0,1.0,0.005683547,1.0,0.00013618,1.0
27,IGSF11,1.0,1.0,2.07416e-06,1.0,1.0,1.23809e-07,1.0,1.0,1.0,3.33649e-06,1.0,1.0,0.00712329
28,CRH,1.0,1.0,1.0,1.0,1.0,1.36088e-06,1.0,1.0,1.0,1.0,0.033483995,1.0,9.4136e-07
29,AL078639.1,1.0,1.0,7.06486e-05,0.984532311,0.4712893,2.37365e-06,1.0,1.0,1.0,1.40856e-05,0.246327076,0.012471476,0.178150351
30,PTPRZ1,0.592715716,1.0,1.0,1.0,1.0,1.0,0.001231302,0.430247695,1.0,0.925460031,1.0,1.0,0.002744606
31,VCAN,1.0,1.0,1.0,1.0,1.0,1.0,9.13706e-05,0.039462544,1.0,1.0,1.0,1.0,1.0
32,BCAN,0.998307462,1.0,1.0,0.600577982,1.0,1.0,0.000252836,0.365289903,1.0,0.989780415,1.0,1.0,1.0
33,RAB3IP,1.0,1.0,1.0,0.714603738,0.823342098,0.984653576,0.000696163,0.848963174,1.0,0.192899365,0.582892646,0.525742753,0.818559773
34,RPL13,0.939730045,0.584315119,0.328655387,0.592350568,0.920829805,0.917577064,0.550078302,1.84794e-06,0.878450416,0.277408487,0.829379346,0.717290585,0.838441626
35,WSB1,0.897855499,0.968163026,0.001537193,0.544994224,0.823342098,0.020349287,0.133477735,0.000274461,0.001832316,8.838e-07,0.008904036,9.84004e-07,7.85316e-06
36,AC092691.1,0.897855499,1.0,0.689512673,0.684259988,0.809241754,0.054818252,1.0,0.00104709,1.0,0.175555964,0.232203051,0.977677033,1.91625e-06
37,PLPPR1,1.0,1.0,1.0,0.551973318,1.0,1.0,1.0,0.003457896,1.0,1.0,0.106152839,1.0,0.144849729
38,HSPA1A,1.0,0.760461527,1.0,1.0,1.0,3.2621e-05,1.0,1.0,6.29721e-47,1.0,1.0,1.0,1.0
39,MBP,1.0,1.0,0.996866762,0.420246229,0.612641119,0.634195002,1.0,0.53366258,3.25966e-30,0.908363498,1.0,1.0,1.0
40,HSPH1,1.0,0.664981182,0.547942585,0.553614561,0.932864552,0.4745092,1.0,1.0,4.09728e-20,0.000610791,0.627016342,0.010191657,0.165193145
41,DPP10,1.0,1.0,0.021686125,0.61199084,0.623308726,0.941073963,1.0,1.0,1.0,5.08583e-07,0.179047062,0.371842748,1.0
42,PVALB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03318e-06,1.0,1.0,1.0
43,ATP5MC3,1.0,1.0,0.740661342,0.498454209,0.74542696,0.641105336,1.0,1.0,1.0,3.84089e-10,0.033314611,0.070743351,0.003093893
44,ATP6V0C,1.0,1.0,0.936584282,0.544994224,0.431489465,0.250440112,1.0,1.0,1.0,1.01447e-08,0.094082344,0.006533494,1.17216e-06
45,CXCL14,0.826710188,1.0,1.0,1.0,1.0,0.972191819,1.0,1.0,1.0,1.0,7.88291e-06,1.0,0.00034096
46,LINC00632,1.0,1.0,0.000612996,0.173231776,0.271898723,0.012727542,1.0,0.379959163,1.0,5.75249e-06,3.91979e-05,0.376284696,1.12048e-07
47,STMN1,1.0,0.892905508,0.174435922,0.477992222,0.583078572,0.004724403,0.854413342,0.084411014,0.031688228,1.01447e-08,0.003890087,0.426244631,0.010187933
48,CNR1,1.0,1.0,0.092809683,1.0,1.0,0.617377241,1.0,1.0,1.0,1.0,0.036753963,1.0,0.641913274
49,STMN2,1.0,1.0,0.307001122,0.668469307,0.629647582,0.165391236,1.0,1.0,1.0,0.002082744,0.003890087,0.306407596,0.000165028
50,GRIK1,1.0,1.0,1.0,1.0,1.0,0.990105185,1.0,1.0,1.0,1.0,0.932105807,9.29635e-07,1.0
51,SST,1.0,1.0,1.0,1.0,1.0,0.982701293,1.0,1.0,1.0,1.0,0.701699872,0.003586839,1.0
52,PCDH9,0.946366189,1.0,0.515571674,0.483561449,0.719531714,0.006488463,0.24218534,0.836374124,3.78064e-05,0.213855379,0.745829344,0.010191657,0.356644743
53,VIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001029822
