"","SYMBOL","logFC","P.Value","adj.P.Val","celltype","sex","timepoint","region","method"
"1","RPS27",-1.07073999413183,2.12643928864855e-06,0.0012354612267048,"Endo","females","P30","CORT","limmaVoomCC"
"2","RAMP2",-0.780716514605491,0.000150014997956654,0.0435793569064079,"Endo","females","P30","CORT","limmaVoomCC"
"3","FN1",-0.876977133187436,0.000253406298094912,0.0484806405643162,"Endo","females","P30","CORT","limmaVoomCC"
"4","HSPA8",-0.744133571951326,0.000342500552570564,0.0484806405643162,"Endo","females","P30","CORT","limmaVoomCC"
"5","EIF1",-0.771654367290877,0.000506282232800479,0.0484806405643162,"Endo","females","P30","CORT","limmaVoomCC"
"6","HLA-B",-0.838590943673515,0.000530709764777,0.0484806405643162,"Endo","females","P30","CORT","limmaVoomCC"
"7","ABCG2",-0.999338653474483,0.000584104103184532,0.0484806405643162,"Endo","females","P30","CORT","limmaVoomCC"
"8","PEG10",-0.987814208650982,6.56408370276994e-17,2.46546983876039e-13,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"9","RPS6KA5",-0.880446049669558,1.46487481642432e-16,2.75103490524486e-13,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"10","LINC00507",0.860894038457296,6.69621189887086e-15,6.97578305262235e-12,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"11","PCDH8",-0.779641311576033,7.42894893782998e-15,6.97578305262235e-12,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"12","DLGAP1-AS4",0.963885310694932,1.67035804544556e-14,1.2547729637387e-11,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"13","STARD4",0.790942015658749,3.78263456286202e-14,2.36792923635162e-11,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"14","PDE7B",0.701255610814325,5.13987594138994e-12,2.75791057655151e-09,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"15","MT-CO2",1.00288480210973,1.05880969031988e-11,4.97111149605184e-09,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"16","AL391807.1",0.75884586607308,4.3533921988188e-11,1.81681567764038e-08,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"17","ADCY1",-0.690223152352259,4.95711165086138e-11,1.86189113606353e-08,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"18","RAP2A",-0.652203531243028,7.36154333188624e-11,2.51363243223316e-08,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"19","KCNJ3",-0.635190914233281,1.82202086743699e-10,5.70292531507778e-08,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"20","KCNAB2",-0.622547703561434,2.17842912410955e-10,6.29398445396574e-08,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"21","GNAQ",-0.775239499090643,3.13027491387913e-10,8.39808041180716e-08,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"22","NAT8L",-0.625103827802751,3.62013163316045e-10,9.06480960943376e-08,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"23","MARCH1",0.625867196885165,3.9081740913221e-10,9.17443867937863e-08,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"24","CDH13",-0.663123210567452,4.93872443741595e-10,1.09116758746672e-07,"L2_3_IT","females","P30","CORT","limmaVoomCC"
