"","SYMBOL","logFC","P.Value","adj.P.Val","celltype","sex","timepoint","region","method"
"1","PEG10",-0.987814209,6.56408e-17,2.46547e-13,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"2","RPS6KA5",-0.88044605,1.46487e-16,2.75103e-13,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"3","LINC00507",0.860894038,6.69621e-15,6.97578e-12,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"4","PCDH8",-0.779641312,7.42895e-15,6.97578e-12,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"5","DLGAP1-AS4",0.963885311,1.67036e-14,1.25477e-11,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"6","STARD4",0.790942016,3.78263e-14,2.36793e-11,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"7","PDE7B",0.701255611,5.13988e-12,2.75791e-09,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"9","AL391807.1",0.758845866,4.35339e-11,1.81682e-08,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"10","ADCY1",-0.690223152,4.95711e-11,1.86189e-08,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"11","RAP2A",-0.652203531,7.36154e-11,2.51363e-08,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"12","KCNJ3",-0.635190914,1.82202e-10,5.70293e-08,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"13","KCNAB2",-0.622547704,2.17843e-10,6.29398e-08,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"14","GNAQ",-0.775239499,3.13027e-10,8.39808e-08,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"15","NAT8L",-0.625103828,3.62013e-10,9.06481e-08,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"16","MARCH1",0.625867197,3.90817e-10,9.17444e-08,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"17","CDH13",-0.663123211,4.93872e-10,1.09117e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"18","IL1RAPL1",0.666456477,8.53724e-10,1.78144e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"19","MAPK8IP2",-0.603802717,9.52117e-10,1.88218e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"20","PPP2R2C",-0.614191725,1.40568e-09,2.63987e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"21","SLITRK4",-0.640421922,1.58903e-09,2.84209e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"22","PTPRR",0.608954524,1.83866e-09,3.13909e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"23","GRID2",-0.623221501,1.92719e-09,3.14719e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"24","GOLT1B",0.593879704,2.12522e-09,3.32596e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"25","NR1D2",-0.612309607,2.64927e-09,3.79021e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"26","UBL3",-0.604010271,2.68489e-09,3.79021e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"27","SYN2",-0.661362462,2.72459e-09,3.79021e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"28","ZMAT3",-0.594840661,3.3602e-09,4.49431e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"29","TSPYL1",-0.725797105,3.47005e-09,4.49431e-07,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
