"SYMBOL","logFC_mouse","logFC_human"
"ABHD2",-0.550648651401643,-0.293768015
"ACACA",-0.546755612784468,0.272723652
"ACSL6",-0.598066769624382,-0.273495999
"AFTPH",-0.6886566279561,-0.300993169
"AKT3",-0.693342810977238,-0.362239487
"APPBP2",-0.660675518314429,-0.317804749
"ARF1",-0.660144499741701,-0.374064647
"ARIH1",-0.570910042463952,-0.368571036
"ATP6V0D1",-0.658774594312307,-0.337596958
"ATP6V1C1",-0.7360734516336,-0.333465936
"ATRNL1",-0.584796986383066,-0.384538763
"BRSK2",-0.565376804115106,-0.282725502
"CAMK2A",0.759970430384068,-0.57675064
"CCND2",-0.803535582833434,-0.363965884
"CCSAP",-0.672516547240098,-0.480086508
"CCSER2",-0.657997203912303,-0.265834184
"CELSR2",-0.597125394456921,-0.365866374
"CHD5",-0.718407109002318,-0.464974021
"CLSTN2",-0.696045959415123,-0.447191331
"CMIP",-0.639447126453045,-0.522132972
"CPEB3",-0.577503046026817,-0.27598898
"DDX17",0.814200432400732,0.353934611
"DNAJC6",-0.628669159805038,-0.298518422
"DOK6",-0.573135084238454,-0.314570157
"EGR3",-0.739799929211333,-0.539199147
"FAM155A",-0.772945811431715,-0.304084831
"FBXO44",-0.555707847522804,-0.269352559
"FMR1",-0.652892526483813,-0.262789592
"GABRD",-0.626976079060472,-0.362821972
"GFOD1",-0.809704552169642,-0.460536554
"GNAQ",-0.599892856784829,-0.775239499
"GSPT1",-0.684898952342376,-0.267183851
"GTDC1",-0.730164825719172,-0.368154155
"GUCY1A2",-0.643599577474718,-0.615727344
"HLF",-0.751938899109855,-0.365369662
"HSPA5",-0.627101678584716,-0.293927158
"IFNAR1",-0.551423456303129,-0.300844529
"IPO7",-0.763030247201615,-0.26494414
"IREB2",-0.597209662167082,-0.291077566
"ITGAV",-0.603963539608617,-0.323117329
"KCNH5",-0.5952622252214,-0.25934829
"KCNJ3",-0.666602684768733,-0.635190914
"KLF9",-0.674738527624466,-0.360841683
"LMBRD2",-0.558211785322597,-0.294344719
"MAGED1",-0.614077402366782,-0.30023443
"MAPK8IP2",-0.642932801253565,-0.603802717
"MARCKS",-0.580791563382893,-0.516389424
"MEG3",0.662563038451022,0.63086081
"MIB1",-0.6953286410764,-0.402610753
"MRFAP1",-0.639393706875929,-0.304699317
"MSRA",-0.57162506995232,0.270928209
"MT-CO1",-0.724892181524673,0.625899157
"MTMR6",-0.681320928049049,-0.289023097
"NAT8L",-0.666319728026627,-0.625103828
"NMNAT2",-0.749489395592448,-0.374140783
"NRIP1",-0.790287087438148,-0.267257866
"NUDT3",-0.680847473224446,-0.426682563
"OLFM1",0.862711920556451,-0.469585151
"PCGF5",-0.604364963578294,-0.305011877
"PLEKHM3",-0.546283118500278,-0.308679315
"PPP1CB",-0.722382670015161,-0.478030819
"PPP2CA",-0.599142038516761,-0.487368116
"PPP2R5C",-0.533657042574405,-0.289202962
"PPP2R5E",-0.611074156088887,-0.376767953
"PRKAR2B",-0.727756991148053,-0.338691301
"PTOV1",-0.687341983031591,-0.25773005
"PTPRG",-0.648598353649431,0.370914664
"RAB15",-0.633496130923998,-0.254832884
"RABEP1",-0.787577257141108,-0.348612878
"RIC3",-0.720708801820376,0.34115257
"RPL8",-0.558006724832839,-0.318674005
"RSRP1",0.704164536068088,0.532000677
"SAMD8",-0.614067749670401,-0.272403138
"SCRN1",-0.63924040389109,-0.33025884
"SHOC2",-0.690002656802745,-0.352285301
"SKIL",-0.607000349971646,-0.269747653
"SLC38A2",-0.608666780837322,-0.448239227
"SOD2",-0.553898712613611,-0.582685392
"ST13",-0.716928338701422,-0.336908385
"ST7",-0.692060252483551,0.388380337
"STX1B",-0.593424514502169,-0.574542174
"SUB1",-0.717168311458383,-0.361140296
"SYN1",-0.800867944224747,-0.513764218
"TBL1XR1",-0.590714109586492,-0.335258086
"TIAM2",-0.775106000958488,0.292030745
"TPD52",-0.600224423958176,-0.292226693
"TPPP",-0.568642366321903,-0.35754255
"TTBK2",-0.666921072119685,-0.381526971
"TTC17",-0.737224264862975,0.257450457
"TXNL1",-0.541984586901939,-0.250188734
"UBE2W",-0.712624668669167,-0.305038702
"UBE4A",-0.635102643437798,-0.357255108
"UHMK1",-0.684213762028691,-0.315671196
"USP22",-0.603844627515122,-0.437924496
"VAMP4",-0.643825993580429,-0.278613604
"VAPA",-0.694547761865812,-0.330317618
"VCPIP1",-0.593742204133896,-0.303084969
"WDR17",-0.579861891052559,0.346879212
"WSB1",-0.766052039365388,0.470739479
"XPR1",-0.639162561634386,-0.290839708
"ZEB1",-0.672454683321604,0.320509056
