"SYMBOL","logFC_mouse","logFC_human"
"ADGRB3",0.484409697807306,-0.461517086
"ALDOA",0.50015052317887,-0.574905225
"APOO",-0.324982783652545,-0.232217387
"ATP1A3",0.970471981997171,0.308993369
"ATP6V0B",0.489175947010393,-0.417918224
"CKB",0.804486302538078,-0.370347596
"COX5B",0.438177654685193,-0.761471715
"COX6C",0.470352096737409,-0.608849895
"COX7B",0.458139724130504,-0.386026459
"CPLX1",0.648363386273795,-0.349927673
"DLGAP1",0.506614278788636,-0.649681266
"GABRA1",0.514035640116153,-0.335941815
"GAPDH",0.70968348417919,-0.601531633
"HNRNPU",0.615866415381227,0.371721175
"HSP90AB1",0.777108282286364,-0.32053348
"HSPA8",0.692938035370373,-0.481145384
"MAP1A",0.490676178458939,-0.365845439
"MDH1",0.508997731543562,-0.677013862
"MEF2C",0.529316055212498,-0.496900393
"NSF",0.528595490279466,-0.345217508
"PEG3",0.71121571661818,0.479642532
"PHF20L1",0.542687177159037,-0.329718204
"PPIA",0.473016602377556,-0.566647081
"PTPRS",0.578287946946843,-0.359277091
"PVALB",0.74406141859843,-0.790291212
"RAB3A",0.526796731952449,-0.397193712
"RBFOX1",0.586715753583371,-0.374178128
"RSRP1",0.667754057867727,-0.667902724
"SCN8A",0.557766077798975,-0.357909759
"SF3B1",0.440852661842424,-0.332424146
"SLC25A3",0.555914421993457,-0.423102802
"SLC25A4",0.540456787697683,-0.483709063
"SNAP25",0.586686750105181,-0.368218096
"SNRPN",0.512007077770533,-0.661137955
"SPARCL1",0.892941645668383,-0.724275161
"SRGAP3",0.433203661782344,-0.325854093
"SRSF11",0.486867550190196,-0.499440565
"SYT1",0.636490689040529,-0.349674854
"UBB",0.503897039722834,-0.359428033
