     Human_Gene  Human_logFC  Mouse_logFC Mouse_Gene       Sum
802      PGM2L1     1.167094     0.123804     Pgm2l1  1.290898
23       MARCH1     0.625867     0.602248     March1  1.228115
384      KCNIP4     0.074620     1.065537     Kcnip4  1.140156
702       CDK13     1.324100    -0.190197      Cdk13  1.133904
28     IL1RAPL1    -0.116618     1.178850   Il1rapl1  1.062232
137        DLG2     0.078355     0.903246       Dlg2  0.981602
973      RHBDL1    -0.258768     1.170933     Rhbdl1  0.912165
633        MIAT     0.470166     0.379359       Miat  0.849525
1016       RYR2     0.393094     0.396456       Ryr2  0.789550
305     FAM19A1     0.471637     0.295679    Fam19a1  0.767316
590      SLC5A3     0.857459    -0.096256     Slc5a3  0.761203
224        MEG3    -0.094293     0.788561       Meg3  0.694268
135      CACNG3     0.483384     0.161899     Cacng3  0.645283
941      CNKSR2     0.301425     0.343196     Cnksr2  0.644621
935     WDR83OS    -0.273104     0.914763    Wdr83os  0.641659
474        CLK1     0.383443     0.236338       Clk1  0.619781
690       WDR17     0.346879     0.251472      Wdr17  0.598351
627         FTX     0.410595     0.147178        Ftx  0.557773
714     TMEM108     0.304818     0.240013    Tmem108  0.544831
1131     ARPP21     0.386947     0.143592     Arpp21  0.530539
177        ENO2    -0.640297    -0.471071       Eno2 -1.111368
43      TMEM130    -0.598463    -0.517743    Tmem130 -1.116206
12        TRPC3    -0.884005    -0.238860      Trpc3 -1.122866
97        GAPDH    -0.524275    -0.616205      Gapdh -1.140480
9         SNRPN    -0.564368    -0.580933      Snrpn -1.145301
493      PCP4L1    -0.457017    -0.690828     Pcp4l1 -1.147845
99         PPIA    -0.489774    -0.667812       Ppia -1.157587
11      ATP6V0C    -0.732563    -0.430830    Atp6v0c -1.163393
450         SYP    -0.500646    -0.678460        Syp -1.179106
79        CALM2    -0.516405    -0.677966      Calm2 -1.194371
297        EIF1    -0.630639    -0.572053       Eif1 -1.202692
14        TTLL7    -0.572168    -0.666992      Ttll7 -1.239160
7         COX5B    -0.834598    -0.461612      Cox5b -1.296210
154         MOG    -0.423094    -0.879132        Mog -1.302226
557        CST3    -0.314814    -1.034536       Cst3 -1.349350
315       RPS27    -1.070740    -0.284465      Rps27 -1.355205
70         AHI1    -0.575277    -0.787509       Ahi1 -1.362786
653        PLP1    -0.221816    -1.210846       Plp1 -1.432662
1           MBP    -0.848406    -0.646540        Mbp -1.494946
406      PTPRZ1    -0.455822    -1.499551     Ptprz1 -1.955372
