"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Gamma-Aminobutyric Acid Metabolic Process (GO:0009448)","3/5",1.20401649980001e-06,0.000694717520384608,0,0,307.701030927835,4193.91812929884,"SLC38A1;GAD1;GAD2","GO_Biological_Process_2023","green"
"Chemical Synaptic Transmission (GO:0007268)","9/273",9.28096453097957e-06,0.00267755826718761,0,0,7.35614385614386,85.2396485483205,"SLC32A1;SST;GAD1;GAD2;GRIK1;GRIK2;SLC6A1;GABRG3;CPLX1","GO_Biological_Process_2023","green"
"Potassium Ion Transport (GO:0006813)","6/122",3.39975406001356e-05,0.00488197676938145,0,0,10.8862802641233,112.011358433364,"SLC24A3;KCNC1;KCNC2;KCNMB2;KCNAB1;HCN1","GO_Biological_Process_2023","green"
"Modulation Of Chemical Synaptic Transmission (GO:0050804)","6/123",3.55977478623358e-05,0.00488197676938145,0,0,10.7926895799236,110.551982090569,"SLC38A1;RELN;CLSTN3;GRIK1;GRIK2;CPLX1","GO_Biological_Process_2023","green"
"Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062)","4/39",4.23048246913471e-05,0.00488197676938145,0,0,23.6488095238095,238.157923950891,"KCNIP1;KCNAB1;FGF12;HCN1","GO_Biological_Process_2023","green"
"Anterograde Trans-Synaptic Signaling (GO:0098916)","7/199",6.36634875715278e-05,0.00612230538812859,0,0,7.72603046594982,74.6481287622583,"SST;GAD1;GAD2;GRIK1;GRIK2;SLC6A1;CPLX1","GO_Biological_Process_2023","green"
"Central Nervous System Development (GO:0007417)","8/283",8.79363945149918e-05,0.00724847137645004,0,0,6.20553359683794,57.9528378152175,"CNTNAP2;RELN;CNTN5;CNTN6;DNER;GRIK1;SERPINI1;SOX6","GO_Biological_Process_2023","green"
"Axon Guidance (GO:0007411)","6/149",0.000103583694241939,0.00747097394719984,0,0,8.81877696771314,80.9134306933582,"RELN;CNTN5;DPYSL5;CNTN6;PTPRM;SEMA4G","GO_Biological_Process_2023","green"
"Glutamate Catabolic Process (GO:0006538)","2/5",0.000245087170998512,0.0157128108517935,0,0,135.353741496599,1125.31701267514,"GAD1;GAD2","GO_Biological_Process_2023","green"
"Nervous System Development (GO:0007399)","9/433",0.000321385056900611,0.0185439177831652,0,0,4.54291934480614,36.5381124343186,"RELN;DPYSL5;CNTN6;ERBB4;DNER;GRIK1;SERPINI1;SOX6;FGF12","GO_Biological_Process_2023","green"
"Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412)","4/69",0.000396452766194243,0.019112067715262,0,0,12.7147435897436,99.5939972210319,"RELN;UTRN;FGF12;HCN1","GO_Biological_Process_2023","green"
"Neuron Projection Guidance (GO:0097485)","5/124",0.000397478011409262,0.019112067715262,0,0,8.74878372401592,68.5062218557078,"RELN;CNTN5;DPYSL5;CNTN6;SEMA4G","GO_Biological_Process_2023","green"
"Monoatomic Cation Transmembrane Transport (GO:0098655)","7/281",0.000527461343707804,0.0231525916778559,0,0,5.39133506004238,40.6907508068841,"SLC24A3;KCNC1;KCNC2;TRPC4;ATP1A3;SLC6A1;HCN1","GO_Biological_Process_2023","green"
"Inorganic Cation Transmembrane Transport (GO:0098662)","7/284",0.000561761323206208,0.0231525916778559,0,0,5.33212996389892,39.9079720752726,"SLC24A3;KCNC1;KCNC2;TRPC4;ATP1A3;SLC6A1;HCN1","GO_Biological_Process_2023","green"
"Potassium Ion Transmembrane Transport (GO:0071805)","5/137",0.000626659455264981,0.0241055003791929,0,0,7.88197767145136,58.130431050787,"SLC24A3;KCNC1;KCNC2;ATP1A3;HCN1","GO_Biological_Process_2023","green"
"Sodium Ion Transmembrane Transport (GO:0035725)","4/82",0.000763307494582887,0.0260728322580685,0,0,10.5886752136752,76.0039181528157,"SLC24A3;ATP1A3;SLC6A1;HCN1","GO_Biological_Process_2023","green"
"Regulation Of Trans-Synaptic Signaling (GO:0099177)","3/36",0.000768177033599937,0.0260728322580685,0,0,18.6194939081537,133.529520677171,"RELN;GRIK1;GRIK2","GO_Biological_Process_2023","green"
"Sodium Ion Transport (GO:0006814)","4/89",0.00103751766290969,0.0329509036154233,0,0,9.71323529411765,66.7389042344027,"SLC24A3;SLC6A1;SCN1A;HCN1","GO_Biological_Process_2023","green"
"Acidic Amino Acid Transport (GO:0015800)","2/10",0.00108503842061186,0.0329509036154233,0,0,50.7448979591837,346.391771762865,"SLC32A1;SLC6A1","GO_Biological_Process_2023","green"
"Metal Ion Transport (GO:0030001)","5/171",0.00168637773102487,0.0486519975400675,0,0,6.2568167406468,39.9508535939048,"KCNC1;TRPC4;KCNMB2;KCNAB1;SCN1A","GO_Biological_Process_2023","green"
"Detection Of Mechanical Stimulus Involved In Sensory Perception (GO:0050974)","2/14",0.00216576516004231,0.0595069760640198,0,0,33.8231292517007,207.504274169846,"KIT;SCN1A","GO_Biological_Process_2023","green"
"Regulation Of Exocytosis (GO:0017157)","3/54",0.002500594818504,0.0608236789855106,0,0,12.0369921164342,72.1163479298262,"RAB3B;RAB27B;CPLX1","GO_Biological_Process_2023","green"
"Axonogenesis (GO:0007409)","5/188",0.00254814400163575,0.0608236789855106,0,0,5.67069312625827,33.8675910752203,"RELN;CNTN5;DPYSL5;CNTN6;SEMA4G","GO_Biological_Process_2023","green"
"Neuron Migration (GO:0001764)","3/55",0.0026353413771885,0.0608236789855106,0,0,11.8049167327518,70.1063613055492,"RELN;DNER;ASTN2","GO_Biological_Process_2023","green"
"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)","3/55",0.0026353413771885,0.0608236789855106,0,0,11.8049167327518,70.1063613055492,"RELN;GRIK1;HCN1","GO_Biological_Process_2023","green"
"Regulation Of Cation Channel Activity (GO:2001257)","3/56",0.00277449269216819,0.0615723955146557,0,0,11.5815989107178,68.1842009003188,"KCNAB1;FGF12;HCN1","GO_Biological_Process_2023","green"
