Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,db,module
GABAergic synapse,7/90,3.36103616837185e-07,2.52077712627889e-05,0,0,17.9711102474414,267.874607926962,SLC38A1;SLC32A1;GAD1;GAD2;ABAT;SLC6A1;GABRG3,KEGG_2019_Mouse,green
Butanoate metabolism,3/27,0.0003251243529193,0.0121921632344754,0,0,25.6134020618557,205.708988323138,GAD1;GAD2;ABAT,KEGG_2019_Mouse,green
beta-Alanine metabolism,3/32,0.0005414210691078,0.0135355267276957,0,0,21.1919658727337,159.391414042061,GAD1;GAD2;ABAT,KEGG_2019_Mouse,green
"Alanine, aspartate and glutamate metabolism",3/37,0.0008329373632247,0.0156175755604634,0,0,18.0709520921771,128.133027538084,GAD1;GAD2;ABAT,KEGG_2019_Mouse,green
Taurine and hypotaurine metabolism,2/11,0.0013218400851343,0.0198276012770146,0,0,45.1043083900227,298.984305122014,GAD1;GAD2,KEGG_2019_Mouse,green
Synaptic vesicle cycle,3/77,0.0067890554235684,0.084863192794605,0,0,8.28615213151296,41.3681460172482,SLC32A1;SLC6A1;CPLX1,KEGG_2019_Mouse,green
Neuroactive ligand-receptor interaction,6/348,0.0080629517919479,0.086388769199442,0,0,3.65024262784621,17.595905383705,SST;NPY;GRIK1;GRIK2;GABRG3;ADRA1A,KEGG_2019_Mouse,green
Nicotine addiction,2/40,0.0170631829128301,0.159967339807783,0,0,10.6670247046187,43.4236674606069,SLC32A1;GABRG3,KEGG_2019_Mouse,green
Glutamatergic synapse,3/114,0.0195542061325189,0.162951717770991,0,0,5.51379214265812,21.6943728553258,SLC38A1;GRIK1;GRIK2,KEGG_2019_Mouse,green
Adrenergic signaling in cardiomyocytes,3/148,0.0381645668105914,0.270326584310548,0,0,4.21365090650551,13.7611423922677,CACNA2D2;ATP1A3;ADRA1A,KEGG_2019_Mouse,green
Type I diabetes mellitus,2/69,0.0467626402187707,0.270326584310548,0,0,6.04112092598233,18.5019639390654,GAD1;GAD2,KEGG_2019_Mouse,green
Adherens junction,2/72,0.0504637828415357,0.270326584310548,0,0,5.78134110787172,17.265971584774,PTPRM;SORBS1,KEGG_2019_Mouse,green
Gastric acid secretion,2/74,0.0529880944930012,0.270326584310548,0,0,5.62018140589569,16.5103396024628,SST;ATP1A3,KEGG_2019_Mouse,green
cGMP-PKG signaling pathway,3/172,0.0552127694919147,0.270326584310548,0,0,3.61087049350332,10.4591067236381,KCNMB2;ATP1A3;ADRA1A,KEGG_2019_Mouse,green
Cardiac muscle contraction,2/78,0.058168160710821,0.270326584310548,0,0,5.32330827067669,15.1417092906877,CACNA2D2;ATP1A3,KEGG_2019_Mouse,green
Salivary secretion,2/78,0.058168160710821,0.270326584310548,0,0,5.32330827067669,15.1417092906877,ATP1A3;ADRA1A,KEGG_2019_Mouse,green
Axon guidance,3/180,0.0615800766393562,0.270326584310548,0,0,3.44626943910536,9.60618964872885,DPYSL5;TRPC4;SEMA4G,KEGG_2019_Mouse,green
ECM-receptor interaction,2/83,0.0648783802345316,0.270326584310548,0,0,4.99344923154447,13.6582862458477,RELN;SV2A,KEGG_2019_Mouse,green
Insulin secretion,2/86,0.0690235124413976,0.272461233321307,0,0,4.81438289601555,12.8703286595916,KCNMB2;ATP1A3,KEGG_2019_Mouse,green
Morphine addiction,2/92,0.0775653030615549,0.290869886480831,0,0,4.49206349206349,11.484567093173,SLC32A1;GABRG3,KEGG_2019_Mouse,green
Glycerophospholipid metabolism,2/97,0.0849237360045433,0.303299057159083,0,0,4.25456498388829,10.491764264828,ACHE;TAZ,KEGG_2019_Mouse,green
cAMP signaling pathway,3/211,0.0892518307965823,0.304267604988349,0,0,2.92803330689929,7.0749873945873,SST;NPY;ATP1A3,KEGG_2019_Mouse,green
Pancreatic secretion,2/105,0.0971124998083677,0.313394093457315,0,0,3.92252823459481,9.1468854610462,ATP1A3;RAB27B,KEGG_2019_Mouse,green
PI3K-Akt signaling pathway,4/357,0.104069367309126,0.313394093457315,0,0,2.30724740321058,5.22060318221224,MAGI1;RELN;ERBB4;KIT,KEGG_2019_Mouse,green
Proximal tubule bicarbonate reclamation,1/22,0.104464697819105,0.313394093457315,0,0,9.56180856180856,21.5992275397069,ATP1A3,KEGG_2019_Mouse,green
Mucin type O-glycan biosynthesis,1/28,0.131029255394866,0.377969005946728,0,0,7.43471754582866,15.1098341340557,GALNTL6,KEGG_2019_Mouse,green
Propanoate metabolism,1/31,0.144017471501311,0.400048531948087,0,0,6.69023569023569,12.9644769200402,ABAT,KEGG_2019_Mouse,green
Vascular smooth muscle contraction,2/140,0.155166268510966,0.415623933511515,0,0,2.92250813368826,5.44538676806967,KCNMB2;ADRA1A,KEGG_2019_Mouse,green
Retrograde endocannabinoid signaling,2/150,0.172791328093857,0.433951644829064,0,0,2.72366243794815,4.7818540898178,SLC32A1;GABRG3,KEGG_2019_Mouse,green
Aldosterone-regulated sodium reabsorption,1/38,0.173580657931626,0.433951644829064,0,0,5.42260442260442,9.49559255823113,ATP1A3,KEGG_2019_Mouse,green
MAPK signaling pathway,3/294,0.1823346342158,0.441132179554355,0,0,2.08406844510575,3.54690032572311,ERBB4;KIT;CACNA2D2,KEGG_2019_Mouse,green
Carbohydrate digestion and absorption,1/43,0.19407611900782,0.445880905762885,0,0,4.77585377585378,7.83003533696715,ATP1A3,KEGG_2019_Mouse,green
Mineral absorption,1/44,0.1981144149655,0.445880905762885,0,0,4.6645525017618,7.55149331126355,ATP1A3,KEGG_2019_Mouse,green
Glycosphingolipid biosynthesis,1/45,0.202132677279174,0.445880905762885,0,0,4.55831037649219,7.28796784173202,ST8SIA1,KEGG_2019_Mouse,green
Cell adhesion molecules (CAMs),2/170,0.208900201139448,0.447643288155959,0,0,2.39698736637512,3.75343927524843,CNTNAP2;PTPRM,KEGG_2019_Mouse,green
N-Glycan biosynthesis,1/50,0.221926911560385,0.448242335795201,0,0,4.09214594928881,6.16034588762116,MGAT4C,KEGG_2019_Mouse,green
Fanconi anemia pathway,1/51,0.225827021656465,0.448242335795201,0,0,4.01010101010101,5.96697401593565,REV3L,KEGG_2019_Mouse,green
Endocrine and other factor-regulated calcium reabsorption,1/55,0.241234861655302,0.448242335795201,0,0,3.71230826786382,5.27884403782842,ATP1A3,KEGG_2019_Mouse,green
