"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test","SYMBOL"
"Acss2",-0.588304937078253,7.89105398526192,-3.49252640032475,0.000580942124319058,0.0253156054461214,-0.391407789750219,"P30","MUT cells from HET vs WT cells from WT","Acss2"
"Ube2i",-0.585052493184993,8.01891975051296,-3.3090256313658,0.00109797358351196,0.0308871894597691,-0.932955674052071,"P30","MUT cells from HET vs WT cells from WT","Ube2i"
"Dnajc13",-0.582849446486061,8.01819557167496,-4.21296739027258,3.71143347247101e-05,0.0073392647836828,1.93514633334971,"P30","MUT cells from HET vs WT cells from WT","Dnajc13"
"Usp24",-0.559775011600458,7.9574208882468,-4.31868485830523,2.39896026496603e-05,0.00641945689536245,2.33107174077888,"P30","MUT cells from HET vs WT cells from WT","Usp24"
"Mrs2",-0.545453729517234,7.82413102801023,-4.60616522832408,7.02929808086246e-06,0.00345629571267014,3.44330918134462,"P30","MUT cells from HET vs WT cells from WT","Mrs2"
"Faf1",-0.541691333775599,7.88943997726295,-4.16279192495442,4.55243284641561e-05,0.00768965099849119,1.79151661430656,"P30","MUT cells from HET vs WT cells from WT","Faf1"
"Clcn7",-0.541441075823384,7.77015924543276,-4.01073212631549,8.35808129099935e-05,0.0102914014060158,1.28748876697407,"P30","MUT cells from HET vs WT cells from WT","Clcn7"
"Rnf141",-0.529824182358131,7.70106932649337,-3.82611409871232,0.000170738554665983,0.0142340095396974,0.672814805851425,"P30","MUT cells from HET vs WT cells from WT","Rnf141"
"Gaa",-0.523023216647322,7.82903207406819,-3.72959389896569,0.000245492301087893,0.0166116457069474,0.348432699469078,"P30","MUT cells from HET vs WT cells from WT","Gaa"
"Mdm2",-0.517732504919913,7.83838156141679,-3.74920000709547,0.000228167639928745,0.0160983929120358,0.411972290192367,"P30","MUT cells from HET vs WT cells from WT","Mdm2"
"Slc35f1",-0.516667453123198,7.81263962464953,-3.97973190767901,9.44015325802887e-05,0.0105828344956798,1.1792512657902,"P30","MUT cells from HET vs WT cells from WT","Slc35f1"
"Zfp871",-0.514805258319064,8.2175280607369,-3.59829322469763,0.000397716264014404,0.0206017024759461,-0.10051329376385,"P30","MUT cells from HET vs WT cells from WT","Zfp871"
"Stam",-0.513586901174068,7.82396731626581,-3.69949879786684,0.000274521130365035,0.0173271278165696,0.253874259809917,"P30","MUT cells from HET vs WT cells from WT","Stam"
"Esco1",-0.509914236299481,7.94601093303647,-3.57251824406347,0.000436540914001705,0.0212912909419922,-0.152209394997529,"P30","MUT cells from HET vs WT cells from WT","Esco1"
"Yeats2",-0.508601023154142,8.02925686695614,-3.9890360528626,9.10213532941707e-05,0.0105164450812723,1.17503033010039,"P30","MUT cells from HET vs WT cells from WT","Yeats2"
"Slc25a40",-0.505770078002716,7.63449233243835,-5.1861857917409,4.95602256198296e-07,0.00134586809596721,5.88615236653745,"P30","MUT cells from HET vs WT cells from WT","Slc25a40"
"Ipcef1",-0.504852904927749,7.86389106619926,-3.50568820012834,0.000554448872676643,0.0247521990884549,-0.349578632872038,"P30","MUT cells from HET vs WT cells from WT","Ipcef1"
"Retreg3",-0.503157608868653,7.89009115665069,-3.48861322919904,0.000589044956496784,0.0253156054461214,-0.40174083017533,"P30","MUT cells from HET vs WT cells from WT","Retreg3"
"Fndc4",-0.501542187395297,8.01157306309963,-3.38504444009491,0.000846179571848469,0.0278756787901485,-0.712887008926176,"P30","MUT cells from HET vs WT cells from WT","Fndc4"
"Rasal2",0.500848601665304,8.6539053384342,3.8478476051385,0.000157178894075463,0.0139466782069192,0.668366173676028,"P30","MUT cells from HET vs WT cells from WT","Rasal2"
"Tcerg1",-0.499082871253863,7.89534800139836,-3.5753390685078,0.000432124462863537,0.0212136394808368,-0.139182375873086,"P30","MUT cells from HET vs WT cells from WT","Tcerg1"
"Ints2",-0.497953999195578,7.71145078508133,-4.0373996173753,7.52269185670939e-05,0.00968814813289545,1.3893710326006,"P30","MUT cells from HET vs WT cells from WT","Ints2"
"Klhl18",-0.496473612080152,7.57099100359006,-4.59556009412291,7.36263232628441e-06,0.00345629571267014,3.47914087434203,"P30","MUT cells from HET vs WT cells from WT","Klhl18"
"Tdg",-0.495362681382567,7.80841786783435,-3.35055868152043,0.000952860861441973,0.0292119915522068,-0.809020952562379,"P30","MUT cells from HET vs WT cells from WT","Tdg"
"Chchd7",-0.492905574180013,7.74481832312879,-4.18278207292635,4.19759896917475e-05,0.00768965099849119,1.89897445157989,"P30","MUT cells from HET vs WT cells from WT","Chchd7"
"Ate1",-0.491718478637402,8.04862953977022,-3.26222074507899,0.00128604508599779,0.0341324545615879,-1.06362802615956,"P30","MUT cells from HET vs WT cells from WT","Ate1"
"Tex10",-0.491121378020797,7.88459364006792,-3.14984021259655,0.00186649650872503,0.0408724643645298,-1.37275816949381,"P30","MUT cells from HET vs WT cells from WT","Tex10"
"Dclre1c",-0.489674054398132,7.69528324854542,-3.93796301516499,0.000111101852506111,0.0114313152626494,1.05032548697455,"P30","MUT cells from HET vs WT cells from WT","Dclre1c"
"Tatdn3",-0.486925472201044,7.59816890503547,-4.42195536663706,1.55410469203468e-05,0.00530585470085113,2.80504437917188,"P30","MUT cells from HET vs WT cells from WT","Tatdn3"
"Prpsap1",-0.480326064383321,7.70305850345443,-3.85512362642688,0.000152872046391434,0.0139466782069192,0.769742652108644,"P30","MUT cells from HET vs WT cells from WT","Prpsap1"
"4933431E20Rik",-0.479054230698321,7.76690250192907,-3.6535397257474,0.000325172671386665,0.0186440605708797,0.110896283534251,"P30","MUT cells from HET vs WT cells from WT","4933431E20Rik"
"Eml1",-0.477328117120267,8.00785748763649,-3.08940517577493,0.00227095271939443,0.0438486526359165,-1.53389129133683,"P30","MUT cells from HET vs WT cells from WT","Eml1"
"Cntnap2",-0.474985513462247,7.91099045385545,-3.41718326291959,0.000756899120558029,0.0268611277019222,-0.615168379294903,"P30","MUT cells from HET vs WT cells from WT","Cntnap2"
"Kcnc1",-0.474783218517112,7.91677717869432,-3.27767648172569,0.0012208596020721,0.0329851671624588,-1.01758027910754,"P30","MUT cells from HET vs WT cells from WT","Kcnc1"
"Ica1",-0.47417856169262,7.98720338500581,-3.30730574283919,0.0011044050783936,0.0309521885963222,-0.934994369771427,"P30","MUT cells from HET vs WT cells from WT","Ica1"
"Sltm",-0.473907406472978,8.66957845030758,-3.56441997367818,0.000449456981414246,0.0216030034668495,-0.217939566849159,"P30","MUT cells from HET vs WT cells from WT","Sltm"
"Gnai2",-0.472897735422842,7.46898112370506,-4.15441910964005,4.70941214126741e-05,0.00768965099849119,1.81637922017922,"P30","MUT cells from HET vs WT cells from WT","Gnai2"
"Dync1li1",-0.472533797711944,7.68885232896253,-3.43317145645225,0.000715840851189115,0.0265693847526314,-0.570587190038186,"P30","MUT cells from HET vs WT cells from WT","Dync1li1"
"Cpeb2",-0.471589027045704,7.96406330654432,-3.0127309219416,0.00290029411318974,0.0484824997870101,-1.73679574076402,"P30","MUT cells from HET vs WT cells from WT","Cpeb2"
"Etv1",-0.470941200737073,7.76571630532833,-3.21017860768925,0.00153008251376042,0.0370724185834016,-1.21441764251495,"P30","MUT cells from HET vs WT cells from WT","Etv1"
"Grik1",-0.470707492193236,7.3843282190621,-4.96935949657728,1.37187043193173e-06,0.00257602970355981,5.03849214483926,"P30","MUT cells from HET vs WT cells from WT","Grik1"
"Crtc1",-0.467424939667838,7.84541000410696,-4.25443604403658,3.13057955919065e-05,0.0069158185497297,2.1300417926169,"P30","MUT cells from HET vs WT cells from WT","Crtc1"
"Wdr26",-0.467398998626174,7.90300581861534,-3.12035527375937,0.00205467960480701,0.0421524740516005,-1.45241011238408,"P30","MUT cells from HET vs WT cells from WT","Wdr26"
"Ssna1",-0.466123778305986,8.00907047286755,-3.05449023124189,0.00254002837495526,0.0464188640493648,-1.62616421373599,"P30","MUT cells from HET vs WT cells from WT","Ssna1"
"Hnrnph2",-0.465556331555919,7.83550791580591,-3.06801527580535,0.00243249004205903,0.0453360613049761,-1.59963107828808,"P30","MUT cells from HET vs WT cells from WT","Hnrnph2"
"Zfp157",-0.465348657886002,8.27499190071259,-3.04781617188469,0.00259469228621326,0.0466071048718073,-1.64389426290291,"P30","MUT cells from HET vs WT cells from WT","Zfp157"
"Fkbp8",-0.463761207139206,8.00587165687646,-3.46938774015494,0.000630416199845738,0.0254961047937117,-0.466126967525177,"P30","MUT cells from HET vs WT cells from WT","Fkbp8"
"Mapk9",-0.463702377250035,8.16688963373193,-3.35482364396042,0.000939018531137915,0.0289568385810427,-0.807778833063189,"P30","MUT cells from HET vs WT cells from WT","Mapk9"
