"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Plxdc2",-0.491613371088908,7.91622432380532,-3.68777558639517,0.000269972104706403,0.136283184756226,0.17443956123463,"P30","Plxdc2"
"Slc9a9",-0.460402915400747,7.63554968581803,-4.19515417097985,3.62686549177519e-05,0.0730101151817304,1.9334017799661,"P30","Slc9a9"
"Kdm2b",-0.434716113243335,7.60746458791253,-4.44521375383451,1.25098349001297e-05,0.047055743976838,2.85561498274692,"P30","Kdm2b"
"Taok2",-0.421805284553328,7.9297114383886,-3.40613606355926,0.000751860305626497,0.194654509333365,-0.661261393465818,"P30","Taok2"
"Psenen",-0.418148574444709,7.63040431289231,-3.64036817476768,0.000322231139653773,0.151509053975958,0.0873497567902826,"P30","Psenen"
"Ppil2",-0.415202314333367,8.01847703027935,-3.51511454860091,0.000509764400150724,0.17431625374245,-0.364310038965267,"P30","Ppil2"
"E130307A14Rik",-0.412678991635204,7.66829756847446,-4.49459953422071,1.00798351749348e-05,0.047055743976838,3.01403067199652,"P30","E130307A14Rik"
"Ssh2",-0.411691054548191,8.16556862456549,-3.40120099812264,0.000765031229705654,0.194654509333365,-0.710915609237524,"P30","Ssh2"
"Dlgap3",-0.408767621415302,7.95217370459808,-4.1787838552557,3.88196810749597e-05,0.0730101151817304,1.76008525790007,"P30","Dlgap3"
"Igf1r",-0.407230599555271,7.93414844413386,-3.73226120578464,0.000228288476406163,0.136283184756226,0.305704595289832,"P30","Igf1r"
"AI480526",-0.404192903223132,8.18312644707882,-3.36664295435006,0.000863470848643647,0.196845187707459,-0.814326456189364,"P30","AI480526"
"Vapa",-0.39804698368459,7.89125641153525,-3.24991313762211,0.00129014605520252,0.227551618836902,-1.09318447649142,"P30","Vapa"
"Cst3",-0.397490562152232,8.06027099246547,-2.57750179478329,0.010445063749062,0.375972318584659,-2.74789115686846,"P30","Cst3"
"Ralgps2",-0.390454391995983,7.832070886966,-3.84472310892453,0.000148335612851065,0.124410779694782,0.687511163725612,"P30","Ralgps2"
