"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Kdm5c",-0.952258436710533,7.63997241994755,-4.43474969282763,2.62342281332399e-05,0.195444999592637,1.95130754214408,"P30","Kdm5c"
"Plp1",-0.874527245083815,7.7540236098341,-3.1100334852303,0.0025125153648444,0.38104508334497,-1.67890593095761,"P30","Plp1"
"Kcnip4",0.857942456547429,8.96896058417131,3.15846044818638,0.00216587250481861,0.361027544116155,-1.63780261931721,"P30","Kcnip4"
"Cldn11",-0.850804073597453,7.39070503999642,-3.80970565374142,0.000255434907159207,0.27318620079786,0.296847304815224,"P30","Cldn11"
"Atp6v1c1",-0.850111145976332,7.99208662537486,-3.73648547409666,0.000328931796894915,0.27318620079786,-0.215702801776272,"P30","Atp6v1c1"
"Arhgap23",-0.825737399713931,7.47604655202577,-4.23583216921553,5.53217184621871e-05,0.204720002072028,1.50315899284523,"P30","Arhgap23"
"Cldnd1",-0.823733872835595,7.63199153130029,-3.56009129842354,0.000597283821021671,0.304338657137489,-0.509627177914286,"P30","Cldnd1"
"Dpf2",-0.811077644380312,7.69666384423262,-3.30061375814737,0.00138868074896433,0.317439081033138,-1.20234423018747,"P30","Dpf2"
"Pphln1",-0.810643613501633,7.66516787558797,-3.47215948841685,0.000798635490777202,0.304338657137489,-0.760575176858883,"P30","Pphln1"
"Epb41l1",-0.809925867302306,8.41911572610232,-3.42795567428768,0.000922588993753917,0.30713340615481,-1.07356390692979,"P30","Epb41l1"
"Scrt1",0.777491558405088,7.93114900037752,3.57898657895595,0.000560799120148612,0.304338657137489,-0.611435856942143,"P30","Scrt1"
"Parl",-0.774446361787268,7.63379843608858,-3.6154765189824,0.000496232577475612,0.304338657137489,-0.365935916017814,"P30","Parl"
"Rbbp4",-0.773173915635649,7.67352214564987,-3.33988707217203,0.00122545281970447,0.317439081033138,-1.09431619648168,"P30","Rbbp4"
"Abce1",-0.77157281940368,7.74800092816318,-3.47930152642047,0.000780146749396687,0.304338657137489,-0.773875763131145,"P30","Abce1"
"Mkl2",-0.760154405659768,7.77635551355085,-3.72560542502744,0.000341438329604775,0.27318620079786,-0.151173585120003,"P30","Mkl2"
"Tnks2",-0.75800055494879,8.2485450794292,-3.06015273111144,0.00292299581533331,0.38886283614702,-1.88413199260732,"P30","Tnks2"
"Plcl1",-0.755448347195177,7.46156287426422,-3.83651072042606,0.000232673104917456,0.27318620079786,0.339115830094894,"P30","Plcl1"
"Xrn2",-0.754906382089969,7.94615135993227,-3.40619634335926,0.000990061848523729,0.307331698812574,-1.0251534879961,"P30","Xrn2"
"Tet1",-0.750102966320381,7.60050970238248,-3.32916461828579,0.00126813279980517,0.317439081033138,-1.08944963622248,"P30","Tet1"
"Deaf1",-0.749113807893111,7.6148527840339,-3.31326554968851,0.00133399327063865,0.317439081033138,-1.13269639215729,"P30","Deaf1"
"Tbc1d8",-0.748749228663345,7.52108757492284,-3.34080429360504,0.00122186521203709,0.317439081033138,-1.03414802597471,"P30","Tbc1d8"
