"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Ap2a2",-0.550607220080242,7.91533248247737,-4.35374634866192,2.04869411556298e-05,0.153897901961091,1.58783362803143,"P30","Ap2a2"
"Fkbp8",-0.488214741240977,8.0219523935269,-3.70685786574129,0.000265450610282457,0.285277590854087,-0.345804502236574,"P30","Fkbp8"
"Gnb1",-0.483565587437603,8.0645030638266,-3.68798365169924,0.00028468611426644,0.285277590854087,-0.411079522309709,"P30","Gnb1"
"Synj2",-0.473336209473413,7.77034673397839,-3.38329976246512,0.000847420305142972,0.399985372034916,-1.04305572506993,"P30","Synj2"
"Sdccag3",-0.469786271392922,8.74257999925345,-3.97531809042778,9.52671222366025e-05,0.285277590854087,0.288864004593019,"P30","Sdccag3"
"Dlgap3",-0.444247100950678,8.04335256269794,-3.7074061901208,0.000264910563554288,0.285277590854087,-0.338920810295848,"P30","Dlgap3"
"Pspc1",-0.429420803317019,8.0344532362735,-3.11019312559838,0.00211633274093526,0.507388002574703,-1.77983135862193,"P30","Pspc1"
"Taok2",-0.425810170033475,7.88768960193625,-3.01792131432755,0.00284443835062855,0.521389702519264,-1.93901010499361,"P30","Taok2"
"Rpl18",-0.425532181975684,7.76167161070235,-3.46776395700624,0.000630878880514344,0.3575806585288,-0.81654399287327,"P30","Rpl18"
"Acvr2a",-0.422634758614521,8.12285364173238,-3.33141775594938,0.00101297610634485,0.422748695047915,-1.29430874349907,"P30","Acvr2a"
"Zfp639",-0.417401556361956,7.65989562778107,-3.36420017989687,0.000905185213604044,0.399985372034916,-1.01650028169647,"P30","Zfp639"
"Kmt5b",-0.417073857154272,8.03218876424029,-3.00944343292945,0.00292176287724389,0.521389702519264,-1.99236591157117,"P30","Kmt5b"
"Pycr2",0.416372999225215,7.47440947360732,3.71471160385309,0.000257813666737924,0.285277590854087,-0.000956059771325179,"P30","Pycr2"
"Psenen",-0.413815264390926,7.55354363553147,-3.3084920183371,0.00109534026499637,0.433062951086986,-1.09767405722538,"P30","Psenen"
"Ate1",-0.408945134339694,8.0543255571324,-3.02500886209879,0.00278124321575691,0.521389702519264,-1.96823366855019,"P30","Ate1"
"5031439G07Rik",-0.408003582814294,7.84156282549187,-2.70023007697801,0.00746675667655026,0.600814634233404,-2.5824905568771,"P30","5031439G07Rik"
"Sacm1l",-0.407985212003394,7.89501232947206,-3.49651290126832,0.000569860748333169,0.3575806585288,-0.797775032406522,"P30","Sacm1l"
"BC004004",0.406964395636434,7.49690230390252,3.36880303884488,0.000890937548661456,0.399985372034916,-0.958585162508818,"P30","BC004004"
"Dennd5a",-0.405179487981328,7.74257559939158,-2.92816216674872,0.00376737144736003,0.570061060562187,-2.08709634278101,"P30","Dennd5a"
"Hectd1",-0.399357226452058,8.21942583565015,-3.20930603647662,0.00152872923304498,0.459352559945356,-1.60033514399956,"P30","Hectd1"
"Rock1",-0.398065006214273,7.68103110433205,-3.16675246280293,0.00175953153524911,0.482512620706712,-1.50297418533355,"P30","Rock1"
"Golga7",-0.394556362181754,7.55902508043653,-3.46236176145538,0.000643007045403288,0.3575806585288,-0.694863421464687,"P30","Golga7"
"Ssh2",-0.394302007797945,8.13100758488006,-3.14699162661452,0.00187732743917868,0.482512620706712,-1.71682935631954,"P30","Ssh2"
"Elovl6",0.394132720251051,7.66924610697461,3.21927987514103,0.00147885758896235,0.459352559945356,-1.44945050979841,"P30","Elovl6"
"Fbxl16",-0.393494327310799,8.2223463451314,-2.86003077595565,0.00464273951001569,0.57874365192146,-2.33038839230999,"P30","Fbxl16"
"Ankrd28",-0.392288874912193,8.06530348214795,-2.61896489957061,0.00943158211412146,0.600814634233404,-2.77236407290331,"P30","Ankrd28"
"Anapc1",0.386848799881527,8.0520773337523,2.80698899219192,0.00544848382641996,0.597081407101037,-2.43712182243228,"P30","Anapc1"
"Supt20",-0.386080312669902,7.9312026873333,-3.03411735825955,0.00270192442082451,0.521389702519264,-1.91763839632333,"P30","Supt20"
"E130307A14Rik",-0.385330860614445,7.63019972376803,-3.55771925528444,0.000457905031527271,0.3575806585288,-0.488910406568007,"P30","E130307A14Rik"
"Lmo4",0.384224179015426,8.58377445731357,2.77803066067569,0.00594016689931753,0.600814634233404,-2.48013025125031,"P30","Lmo4"
"Nfx1",-0.377305145461138,8.38382929968242,-2.91767217277835,0.00389148824619196,0.570061060562187,-2.23146213325918,"P30","Nfx1"
"Sec11c",0.377033908473328,7.50223661893668,3.28538706882494,0.00118462323555317,0.444944487273772,-1.16610354220572,"P30","Sec11c"
"Ddr1",0.373940918037341,7.36481005271789,3.49626952897285,0.000570353236099241,0.3575806585288,-0.508023175021301,"P30","Ddr1"
"Dynll2",-0.371931484882173,7.96732874011785,-2.54670854766841,0.0115560149691872,0.605379307993715,-2.90002625174793,"P30","Dynll2"
