"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test"
"Rragb",-0.500282702187477,7.82703196843761,-5.18942665230835,3.49216451481664e-07,0.000593722583069719,6.13251736525133,"P30","WT cells from WT vs WT cells from HET"
"AC149090.1",-0.47590820693131,9.4788245355995,-5.12830274629311,4.73462984904082e-07,0.000593722583069719,5.70500599346596,"P30","WT cells from WT vs WT cells from HET"
"Ttll5",-0.436933769534319,7.75947663562346,-4.10920147171969,4.89658517126147e-05,0.00484607038144449,1.75946734818134,"P30","WT cells from WT vs WT cells from HET"
"Runx1t1",-0.428283987913714,8.00874467703932,-4.96301537139548,1.062753097887e-06,0.00088846158983353,5.09109466482419,"P30","WT cells from WT vs WT cells from HET"
"Nop58",-0.411763798994201,7.70385681396629,-4.72479116201475,3.28192124681726e-06,0.00102888231087721,4.16873449155772,"P30","WT cells from WT vs WT cells from HET"
"Rxfp1",-0.401543495078675,7.49406949366029,-4.88822978286381,1.52145532528369e-06,0.000945403800212501,4.90847467772176,"P30","WT cells from WT vs WT cells from HET"
"Lama4",-0.39789357244257,7.54980149951908,-5.04559396528757,7.11466310161898e-07,0.000669134064707265,5.586464914038,"P30","WT cells from WT vs WT cells from HET"
"Gtpbp8",-0.396826223294938,7.90352896768916,-4.20695044371547,3.2543858618466e-05,0.00415016936009047,2.1034167938697,"P30","WT cells from WT vs WT cells from HET"
"Zkscan2",-0.396781931527864,8.01961794516904,-4.00051597278125,7.64095218054315e-05,0.00624897002243551,1.3475127798872,"P30","WT cells from WT vs WT cells from HET"
"Fgfbp3",-0.396379702555925,7.79131289804585,-4.44156794656471,1.18234438098935e-05,0.00248740178081192,3.01086685628529,"P30","WT cells from WT vs WT cells from HET"
"Mob4",-0.395619142572394,8.03467652345034,-3.61762534122222,0.000338788548507493,0.0142076145052287,0.0628022175366745,"P30","WT cells from WT vs WT cells from HET"
"Rogdi",-0.393513553098044,8.29147396996953,-3.63528722003279,0.00031715276649474,0.0138735896227118,0.108814770173874,"P30","WT cells from WT vs WT cells from HET"
"Park2",-0.387950542078375,7.76280168501283,-4.15290195113489,4.08314464343901e-05,0.00445240294162827,1.9193469547921,"P30","WT cells from WT vs WT cells from HET"
"Rhbdl1",-0.387582996430114,8.3312390482457,-4.06094148079482,5.97349468512499e-05,0.00527571473732275,1.52760388257385,"P30","WT cells from WT vs WT cells from HET"
"Nkain3",-0.382054719017677,7.46062071443609,-5.89220579460696,8.60343036447353e-09,6.47322100622988e-05,9.66336010563008,"P30","WT cells from WT vs WT cells from HET"
"Epha6",-0.379670888458824,7.91604247513405,-4.15443321831419,4.05711915366863e-05,0.00445240294162827,1.90916565136888,"P30","WT cells from WT vs WT cells from HET"
"Jakmip3",-0.377695587440472,7.70466266540747,-3.95860170687545,9.04773009408178e-05,0.0072420341731778,1.22137862568287,"P30","WT cells from WT vs WT cells from HET"
"Gria4",-0.376434404430491,8.84623199392647,-3.72104491960276,0.000229344084019807,0.0112147402737599,0.368145902715344,"P30","WT cells from WT vs WT cells from HET"
"Grik1",-0.374404432487085,7.70350011370962,-3.66219850698093,0.000286668375170089,0.0131517856998765,0.208428051555349,"P30","WT cells from WT vs WT cells from HET"
"Hars2",-0.372833320845302,7.81475704738743,-4.02835841567152,6.82409828600131e-05,0.00576904668582852,1.46356148916468,"P30","WT cells from WT vs WT cells from HET"
"B3galt2",-0.371998453511272,7.84630337920435,-4.11759045701977,4.72934010927755e-05,0.00474447399762724,1.78223169732129,"P30","WT cells from WT vs WT cells from HET"
"Tmem63b",-0.371640737026347,8.2574186602396,-3.89971113768287,0.000114442094105311,0.00791438197952817,0.979196567070449,"P30","WT cells from WT vs WT cells from HET"
"Kansl1l",-0.365831607911872,7.55023977018285,-4.17855486797927,3.667429614923e-05,0.00441829749184044,2.02696658761341,"P30","WT cells from WT vs WT cells from HET"
"Cntn5",-0.364049542351335,8.38010863859098,-3.39809563161472,0.000752684032117375,0.0225625285165384,-0.622967245787788,"P30","WT cells from WT vs WT cells from HET"
"Snrnp200",-0.358549574359891,7.66082896676604,-4.05970597011525,6.00382168284866e-05,0.00527571473732275,1.58531956207785,"P30","WT cells from WT vs WT cells from HET"
"Pithd1",-0.354807006294919,7.47289055260948,-4.62920057403055,5.09471350103436e-06,0.00141972682895491,3.81104050457813,"P30","WT cells from WT vs WT cells from HET"
"Gm12063",-0.351519939174278,7.40450653760728,-5.41857206018507,1.08748444810949e-07,0.00027274109958586,7.34391073939885,"P30","WT cells from WT vs WT cells from HET"
"Otud3",-0.35075829000295,7.80423392109139,-3.59637551535987,0.000366656885561921,0.0149930782987386,-0.0030026852429117,"P30","WT cells from WT vs WT cells from HET"
"Gpr176",-0.350394900749414,7.45654890923666,-4.82146695460673,2.08810169561987e-06,0.000962453720719966,4.62435944451186,"P30","WT cells from WT vs WT cells from HET"
"Slc16a11",-0.349821449275988,7.93653400080628,-3.764503488755,0.000194142765244188,0.0102665595504116,0.545944203653463,"P30","WT cells from WT vs WT cells from HET"
"Mfsd11",-0.348688434569985,7.894530159292,-3.66359844946244,0.000285160535952373,0.0131517856998765,0.214638094634133,"P30","WT cells from WT vs WT cells from HET"
"Cdh13",-0.347956752907785,7.67866133845374,-4.05863656262884,6.03018962532904e-05,0.00527571473732275,1.58078080489588,"P30","WT cells from WT vs WT cells from HET"
"Olfm3",-0.34267606574265,7.6182708741681,-4.28269113427381,2.35856670520997e-05,0.00383311714628897,2.41907131385554,"P30","WT cells from WT vs WT cells from HET"
"Atp6v0d1",-0.340859084349645,7.88873785427968,-3.38782135640128,0.00078055541529986,0.0230164653869926,-0.652393840537198,"P30","WT cells from WT vs WT cells from HET"
"Ttbk2",0.340432698998248,7.92092322186739,3.63045396377173,0.000322940750060571,0.0138913655396097,0.10683563836318,"P30","WT cells from WT vs WT cells from HET"
"Csrnp3",-0.340282493408205,8.63163564931873,-3.55845401186564,0.000421807850909702,0.0166161375405476,-0.14300989404259,"P30","WT cells from WT vs WT cells from HET"
